originalSentence1,originalSentence2,gpt_text,gpt_p_text_1,gpt_p_text_2,gpt_p_text_3,gpt_p_text_4,gpt_p_text_5,opt_text,opt_p_text_1,opt_p_text_2,opt_p_text_3,opt_p_text_4,opt_p_text_5
The dollar rose 0.6 percent to 109.54 yen < JPY = > and climbed more than 1 percent to 1.3315 Swiss francs < CHF = > .,The dollar rose around 0.6 percent against the Japanese currency to 109.51 yen < JPY = > and climbed 1 percent against the Swiss franc to 1.3302 francs < CHF = > .,"The dollar rose 0. 2 percent to $1.1234 from $1.1218, after touching a high of $1.1218 on Friday.","The dollar rose 0.10 percent to $1.1234 from $1.1218, after a high of $1.1218 on Friday",The dollar rose 0.10 percent to $1.1234 from $1.1218.,The dollar rose by a penny to $1.1234 from $1.1218.,The dollar jumped a penny to $1.1234 from $1.1218.,"A little more, the dollar was up a penny to $1.1234.","The dollar rose 0.1 percent against the yen to 110.65 yen, after hitting a three-month high of 110.78 yen on Tuesday.","The dollar slipped a quarter of a percent against the yen, after hitting a three-month high of 110.65 yen on Tuesday","The yen slipped a quarter of a percent against the dollar, after hitting a three-month high of 110.60.","It's a good thing that it's not going to be long. The yen is a little less than one yen, the",But the yen is a little less than one yen. The yen is just a tenth of a yen.,"This is the amount of ten thousand yen, but the yen is only ten thousand yen. "
""" We have sent a message to the nation that this is a new Louisiana , "" she told a victory party in New Orleans .",""" We have sent a new message out to the nation ‚Äî that this is a new Louisiana . """,""" We have sent a letter to the Prime Minister and the Home Secretary. We have asked for a full inquiry. The Home Secretary should be asked to make public the contents",We have sent a letter to the Prime Minister and the Home Secretary. We have asked for a thorough investigation. ,", we asked the prime minister and the minister of home affairs to investigate us. ",", we asked the Prime Minister and the Home Minister to examine us. ",We asked the Prime Minister and the Home Minister to examine us. ,The Prime Minister and the Home Minister inspected us. ,""" We have sent ateam to investigate the issue."" I hope they get back to you soon. I've been having this issue for the last few days.","I've been experiencing this for a few days. We have sent an investigator to investigate. "" ",We have sent a forensic investigator to inquire into it. I've been feeling it for several days now. ,I've been feeling a bit of it for several days. We've sent a forensic investigator to look into it. ,They sent a forensic investigator to look at it. I've been feeling a little of it for several days. ,I was feeling it for a few days now. They sent a forensic investigator to look at it. 
"According to the survey , last years identity theft losses to businesses and financial institutions totaled nearly $ 48 billion and consumer victims reported $ 5 billion in out-of-pocket expenses .","Identity theft cost businesses and financial institutions nearly $ 48 billion and consumer victims reported $ 5 billion in out-of-pocket expenses last year , according to the FTC .","According to the survey , which polled more than 5,000 Americans between June and July, more than two-thirds of Republicans and Republican-leaning independents (69 percent)","They say that among Republicans and the majority of independents, about two-thirds of all Americans, are Republicans and almost half are Republican. ",“That’s what they call a party.” ,That's what they call a party. ,‘That’s what they call a party.’ ,“A party.” ,"According to the survey ,only 5% of the people who take the test say they’re interested in the study. The remaining 94% say they’","The other 94% are not. The survey indicates that only 5% of the participants, who are asked to do the exam, have an interest in the study.",The survey showed that only 5% of those who were given the task had an interest in the study. The other 94% were not interested.,The survey showed that only 5% of those who were assigned the task were interested in it. The other 94% did not want to participate.,The survey showed that only 5% of those who were assigned to it were interested in the project. The other 94% did not want to participate.,"The survey showed that only 5% of the participants were interested in the project, and that the remaining 85% were not interested."
"The largest gains were seen in prices , new orders , inventories and exports .","Sub-indexes measuring prices , new orders , inventories and exports increased .","The largest gains were seen in the Northeast and West Coast states. The biggest declines were in the Midwest and Southeast, where the number of deaths rose by 5.","The highest gains were in the Northeast and West Coast States. The numbers of deaths increased by 5.8 per 100,000. The greatest declines were seen in the Midwest and South","The growth was greater in the Northeast and West Coast States. Deaths rose by a ratio of 4.5 per 100,000. The shortest increases were seen in the","A death rate of four deaths per 100,000 people was seen. In the Northeast and West Coasts, death rates were more frequent.","In the Northeast and on the West, death rates were more frequent. There were four deaths per 100,000 people.","He had four deaths per 100,000. In the North, and on the West, death was more frequent.","The largest gains were seenin the consumer staples and materials sectors, which were up by 1.1 percent and 1.1 percent, respectively. “","“The highest gains were seen in the consumer goods and in the materials sector, which grew by 1.4 percent and 1.4 percent, respectively.","""At the consumer goods industry, there was a 1.4 percent increase, while the materials industry grew by 1.4 percent and 1.4 percent, respectively.",", the materials industry grew by 1.4 percent, and the telecommunications industry grew by 1.4 percent and 1.4 percent, respectively.","The industry of materials grew by 1.3 percent, and the telecommunications industry grew by 1.3 percent.","There was a rise of 1.8 percent in the business of metals, and the business of information and communication grew 1.8 percent."
"In Falluja on Thursday , two grenades were thrown at soldiers from the Third Armored Cavalry Regiment , wounding seven .","In Al-Fallujah , two grenades were thrown Thursday at soldiers from the 3rd Armored Cavalry Regiment , wounding seven , none seriously .","In Falluja on May 17, 2011, the Iraqi army and Shi'ite militiamen began a large-scale offensive against the Sunni extremist group. The campaign","At the end of May 2011, the Iraqi army and the Shiite militia took up arms in the camp of Falluja.","The two armies of the Iraqi army and the Shiite army gathered in the fall of May, 2011 in the camp of Falluja.",The army of Iraq and the Shiite army gathered in the fall of 2011 in the Falluja army.,"The army of Iraq and the Shiites gathered together in Falluja, in the fall of 2011.",The army of Iraq and the Shiites of the Shiites met in Falluja in 2011.,"In Falluja onThursday, the U.S. military dropped a GBU-43/B Massive Ordnance Air Blast (MOAB) bomb on a","Then, on Thursday, the U.S. military launched a 155-gram musket ball on the eagle.",On Thursday the military launched a 155-gram bomb on the eagle.,"In addition, on Thursday the army fired a 155-gram bomb on the eagle.",On Thursday the army smashed the eagle with a 155-gram bomb.,On Thursday the army blew the eagle to pieces with a 155-gram bomb.
"He added that we are "" not going to make progress if we don 't broaden the tent . """,He added Democrats are not going to make progress if we dont broaden the tent .,"He added that we are all going to have to make our own decisions about whether it is right for us to have to live under the same circumstances. ""The","“And that is why I’ve got it up to me, I don’t want to be anything but a good-for-nothing.” He",He said: “It’s the only way I can do it. I don’t want to be anything but a useless man.” ,“It’s my only way of doing it. I don’t want to be anything but a useless man.” ,“That is my way of doing it. I want to be nothing but a useless man.” ,“It is my way of life. I want to be nothing but a useless man.” ,"He added that we arethe only ones who can make a difference. “I’ve been a big fan of the band for a while,","""I've been a fan of the band for a long time. ","‘I’ve always been a fan of the band,’ he said. ‘I’ve loved the band for a long time. ",I love the band! he said. ,"“I love the band,” he said. “I love the band!” ","""I love the band!"" he said. "
"The 39-year-old Luster initially gave police a false name , but later revealed his true identity .",Barrera said Luster gave police a false name immediately after his arrest Wednesday but later revealed his true identity .,"The 39-yearold, who has been the head of the UK's National Health Service since May, is the most powerful person in Britain. Theresa","It was a mighty he who was able to make the British Parliament a more powerful force. The 39-year-old minister of health, who","The minister of health, a 39-year-old civil servant, was the one to lead the British parliament into greater strength.","“The minister of health was a very old man, and he had been appointed to the post of minister in the Cabinet of Ministers in 1905.","“The health minister was a very old man, and in 1905 he was appointed Minister of Health.","“The minister was an old man, and in 1905 he was appointed minister of health.","The 39-year-old singer, who has two children with the star, has been dating the musician for three years. A source told People magazine:","In fact, the writer said, ‘The young singer is in love with the musician for three years,’ he said. ","Nevertheless, the writer said, “The singer has been in love with the musician for three years.” ",He was in love with him for three years. ,He was in love with him for three years. ,He was in love with him for three years. 
"Massachusetts does not have a state death penalty , and only once before - in Michigan - has the federal death penalty been given in a state without capital punishment .","Massachusetts has no state death penalty , and only once before -- in Michigan -- has the federal death penalty been given in a state without capital punishment .","Massachusetts does not have a ""right to work"" law. The right-to-work law was passed in 1938 and was not challenged until the 1980s, when",This right to work was enacted in 1938 and was not questioned again until the 1980s.,"Moreover, the right to work was passed in 1938, and was not raised again until the 80s.","Moreover, in 1938 the right to work was passed but did not rise again until the 80s.","Then in 1938, the worklaw was passed, but did not take effect until the 80s.","Then in 1938, in the Worklaw, there was a revocation, but the worklaw did not take effect until the 80s.","Massachusetts does not haveany special laws for the manufacture or sale of fireworks, though the use of fireworks in the state is regulated by the Massachusetts State Police. The","The law about fireworks is not the law of the Commonwealth of Massachusetts, but of the state police. ","The law of fireworks is not the law of the Commonwealth of Massachusetts, but of the state police. ",And it’s not the laws of the Commonwealth of Massachusetts. The laws of the State of Massachusetts are not the laws of the Commonwealth of Massachusetts. ,The laws of the state of Massachusetts are not the laws of the Commonwealth of Massachusetts. ,The laws of the Commonwealth of Massachusetts are not the laws of the Commonwealth of Massachusetts. 
"The S3C2440 CPU supports major operating systems including Microsoft Windows CE / Pocket PC , Palm OS , Symbian , and Linux .","It supports the Windows CE , Palm , Symbian , and Linux operating systems .","The S3C24 -2 is the latest version of the S3C24-2, the S3C24-2 is the latest version of the S",The S3C24-2 is the latest version of the S3C24-2.,The S3C24-2 is the latest version of the S3C24-2.,A version of the S3C24-2. The S3C24-2 is the latest version of the S3C24-2.,The S3C24 is the latest version of the S3C24.,The S3C24 is the latest version of the S3C24.,The S3C24is the only one I've ever been able to get to work with the stock camera app. I've been trying for a while now.,It’s been hard for me. The S3C24 is the only one I’ve managed to make work with the stock camera app.,Xi-fiao is the only camera I’ve managed to get to work with my stock camera app. I’ve found it difficult to do,The camera I have in my hand is the only one I have had to use with the stock camera app. ,The camera I’ve got in my hand is the only one I’ve used with my stock camera app. ,The only one I have on my hand was the one I had with my stock camera app. 
"He admits he occasionally lived the life of a playboy : smoking pot , chasing women and living fast and loose .","Schwarzenegger has admitted to occasionally living the life of a playboy : smoking pot , chasing women and living fast and loose .",He admits he occasionally lived in his car. He says he used to take his dog for walks at night. He says he used to take his dog for rides to the,"He was very often in his carriage, and he used to take his dog for walks at night. He said he often went on a train. ",He was always on the train. In the evenings he used to drive a horse. ,He was always on the train. In the evenings he used to drive a horse. ,He used to drive at night. ,He used to drive in the night. ,He admits he occasionally livedin a trailer park for a while. Yeah I remember reading that he lived in a trailer park for a while. I think I remember,"And I remember reading that he had been living in a caravan for a while, yes, I believe. He also confesses that he used to","He confesses he used to go and sleep in a caravan. I remember reading that he lived in a caravan, yes, I think he",I remember reading that he lived in a caravan. I suppose he did. ,It’s not clear if he ever slept in a tent. I remember that he lived in a tent. ,I remember that he lived in a tent. It's not clear if he ever lived in a tent. 
