originalSentence1,originalSentence2,gpt_text,gpt_p_text_1,gpt_p_text_2,gpt_p_text_3,gpt_p_text_4,gpt_p_text_5,opt_text,opt_p_text_1,opt_p_text_2,opt_p_text_3,opt_p_text_4,opt_p_text_5
"Police said the 71-year-old was one of three men walking on Kells Avenue at about 08:25 BST.
A red car stopped beside the group and two men got out. The assailants attacked two of the men in the group and stole a wallet.
One of the attackers also produced a hammer and threatened the men with it.
Police said the car was a Volkswagen Golf with a southern-registered number plate.
They are also investigating if there is a link between the attack and a report of criminal damage to a car in Oramnore Drive at the same time.
It was reported that two men in a red-coloured car smashed the windscreen and passenger window of a Toyota car parked on the street.
The police have appealed for witnesses.",A pensioner has suffered a minor head injury after two men were assaulted and threatened with a hammer on a west Belfast street on Saturday morning.,71-year-old was one of three men walking on Kells Avenue at about 08:25 BST when a car stopped and two men started to,"The man was walking on Kells Avenue about o'clock in the morning. A carriage stopped in front of the house, and two men began to fight. ","The carriage halting in front of the house halted, and two men began to fight. The man was walking down Kells Avenue about three o’","At about three o'clock, he was walking down Kells Avenue. The carriage stopped in front of the house. Two men began fighting. ",Two men were fighting. At about three o’clock he was walking along Kells Avenue. The carriage stopped in front of the house. ,At three o'clock he was on Kells Avenue. The carriage stopped before the house. Two men were fighting. ,The victim is not known to the driver of the car. The victim is not known to the driver of the car. The victim is not known to the driver of,The driver of the car did not know about it. The victim was not known to the driver. ,The driver of the car did not know. The victim was not even known to the driver. ,The driver was not aware of the murder. ,The driver was not aware of the murder. ,It was not the driver who knew about the murder. 
"Lincolnshire Police is taking on about 150 officers over the next two years.
The force is restricting applications to people who have lived in the county for at least the past 12 months.
The county's Police and Crime Commissioner, Marc Jones, said the advert had attracted a great deal of interest.
In a statement on the force's website, Chief Constable Neil Rhodes said he wanted ""the force to reflect the community it serves and for applicants to have an understanding of the county and issues facing the public of Lincolnshire"".
The force said it would also consider applications from those with strong connections to the county, such as members of the armed forces who have left the region to work in other areas.
More on this and other local stories from across Lincolnshire
The application process opened on Monday.
One employment lawyer has described the force's policy as ""potentially discriminatory"".
Mary Walker, a partner at Andrew Jackson Solicitors and an expert in employment law, said the force would have to decide if the locals-only policy was ""proportionate"" and ""legitimate"".
""Does the need for that local knowledge outweigh the potential of discrimination on other potential recruits?"" she said.
Some other forces in England and Wales have a similar policy.
The Metropolitan Police said since 2014 recruits had to have lived in London for three of the past six years.",A police force has received almost 500 applications in 24 hours after launching a recruitment drive aimed at people from the local area.,"the force is looking for people who have the right experience and skills, and who can be committed to the community, Detective Chief Inspector David Lacey said. The team","he said. Then the police chief urged him to be in charge of the ward. The detectives said, “The police department is looking for people with","The police said: ""The police are searching for the person who is the best in the police department. "" The police chief asked him to take charge of the office. ","The chief of police asked him to take charge of the office. The chief of police said, “The police are looking for a great leader to be appointed to the department","The magistrate said, ""The police is looking for a great man to be appointed as the general superintendent of police."" The magistrate asked him to take charge of the","Then the judge ordered the official to be the head of the department. “The general superintendent of police is required,” said the judge. ",Recruiting from outside Lincolnshire is being made to tackle a shortage of officers in the county and to recruit from outside the county. The move is also being made,There is also a plan to recruit from outside the county in order to overcome the shortage of officers in the county and recruit from outside the county. ,There is also a plan to recruit from outside the county to fill the need of officers in the county. ,The council of governors was in a position to provide a full complement of officers. There was a plan to recruit a number of officers from outside the town,He was in the position of assembling the officers of the army from outside the city. The mayors were in a position to supply them with all the officers they needed,The mayors had all the officers they needed. They had assembled the officers from outside the city. 
"Science teacher Simon Clarkson told the ATL annual conference the current system of controlled assessments simply asked students to ""jump through hoops"".
However, delegates did not feel the answer was to remove practicals from the A-level grades altogether.
New tougher A-levels are due to be taught from September 2015.
The exams regulator, Ofqual, has decided students taking new A-levels in chemistry, biology and physics will perform at least 12 practical experiments.
But these will be assessed as a pass or fail and will not count towards the A-level grade.
Instead, written exams at the end of the two year course will form 100% of the final grade.
Leading science organisations have already criticised the plan, arguing it will lead to practical work being ""de-prioritised"" in schools.
The resolution commits the ATL to lobby the new government after the election to overturn the decision: ""such that the assessment of practical work in science subjects as AS- and A-levels is included in the overall qualification grade.""
The proposer, Matt Mugan from Somerset, argued that overall, the new A-level system, which will separate AS-levels from the A2 qualification, would mean more students ""will fail"".
However Mr Clarkson, a physics teacher in a comprehensive academy in Leicestershire, said the practical work required under the current assessment system did little to develop students' problem solving and scientific skills.
He said that the plans for separate practical assessments would ""give us space to do some real science with our students"".
Geoff Pye, from Southend, said his school had switched to teaching iGCSEs in science instead of GCSEs to avoid having to prepare pupils ""to jump through artificial hoops"".
When it came to AS-level however, Mr Pye said he was required to get pupils ""to hoop jump rather than teaching them advanced skills with advanced equipment"".
The new system would allow the school to teach ""real practical science"", said Mr Pye.
In response Mr Mugan warned: ""If we reject this motion, we're effectively lying down and saying A-level reform is okay.""
Another speaker, Matt Surman, warned that the union had already adopted the reversal of A-level reforms as policy.
On Monday, ATL general secretary, Mary Bousted criticised the exams regulator for not being prepared to engage with debate and uncertainty in ignoring the concerns of the science community over its plans for assessing practical skills at A-level and GCSE.","The ""Mickey-Mouse practicals"" students do under the current A-level system, have nothing to do with ""real science"", a teaching union conference has heard.","we are going to have to make more cuts to the education budget, Science teacher Simon Clarkson said. ""The current system is a complete failure. We have","‘The current system is completely useless. We’ll have to cut more education funding,’ said Simon Clarkson. ","“We’ll have to cut the funding for schooling,” said Simon Clarkson. “The present system is completely useless. ",Then he sat down to discuss with Simon Clarkson. ‘There’s no use for the current system. ,"he said, “The present system is not a solution. There is no need for the present system. ",There is no need for this system. ,"not a system of inquiry, Science teacher Simon Clarkson has said. ""The current system of controlled assessments is broken in the wrong way. It is not ",“The current system of assessments is not designed to be a system of inquiry. ,"""There is no such thing as a'system of inquiry'. ","""There is no system of inquiry. ",“There’s no system of inquiry. ,“It is not a scientific system. 
"The Arsenal FC midfielder, 24, uploaded a picture from his 2014 wedding with the caption ""un flwyddyn heddiw"", which means ""one year [ago] today"".
In contrast to positive responses, some users expressed confusion while others ridiculed the message.
One questioned whether the FA Cup winner was ""drunk"" and another asked if he had ""had a seizure"".
The tweet, posted on 8 June, attracted criticism for its lack of an English translation.
Twitter user @RightJudgeIam posted: ""Did you lean on the keyboard?""
While @BanterousGooner said: ""Did you have a seizure while typing this or something?""
Arsenal fan @MegatronAFC, who describes herself as an ""Aaron Ramsey enthusiast"", said: ""I didn't know Welsh was a language lol [sic].""
Many of the tweets have since been deleted and people rushed to support Mr Ramsey on the micro-blogging site, calling the negative posts ""horrible"".
Andrea Williams, from Rhymney, Caerphilly county, using her twitter handle @tyclyd1972, posted: ""Why put such horrible status don't be jealous cause we got a different language we r proud to talk Welsh [sic].""
""Good to see people like @AaronRamsey tweeting in Welsh,"" Ffion Elena posted. ""Can only be positive for our language.""
Mr Ramsey, who was raised in Caerphilly, attended Welsh-medium school Ysgol Gyfun Cwm Rhymni before signing with Cardiff City's youth academy.
He played in Wales' crucial 1-0 home win against Belgium on Friday and has scored nine times during his 34 appearances for his country.",Footballer Aaron Ramsey left some Twitter users nonplussed after posting an online message in Welsh.,and @marniadunn. Love @marniadunn and @marniadunn. Love @marniadun,And Mr. Munn! I love Mr. Munn and Mr. Munn! ,I love Mr. Munn and Mr. Munn! ,I love Mr. Munn and Mr. Munn! ,The Munns and the Munns! I love the Munns and the Munns! ,I love Munns and Munns! Munns and Munns! ,"Welsh footballer, 24, uploaded a picture from his 2014 wedding with the caption ""Un flwyddyn heddiw"", which means","Un flwyddyn heddiw’ – which means he had not had his wedding. The Welsh footballer, who has ","The Welshman, who has a wedding in mind, has a son. Un flwyddyn heddiw (as ",Un flwyddyn heddiw (as he says in Welsh) ,"Then he was, as he says in Welsh, un flwydiw. ",“I stayed in the village for the night and stayed in the house. When I was in the house I had to eat something. 
"Kelly Hewitt, 41, was found by the side of the A66 on Teesside in March 2014 with severe injuries to his groin.
In May, he was discovered dead in his caravan at a Middlesbrough travellers' site. He was covered in blue paint and had a ligature around his neck.
The coroner ruled the father-of-six died as a result of misadventure.
During the inquest in Middlesbrough, coroner Clare Bailey said using the ligatures ""may have been an act of some sort of erotic nature"".
No-one was ever charged in connection with Mr Hewitt's injuries.","A man who survived after his penis was severed died a year later as the result of what could have been ""an erotic game"", an inquest has heard.",pictured with his family Mr Hewitt was driving home after a night out at a pub when he crashed into the guardrail and was thrown from,"Mister Hewitt, who had been a drinking man, was going home after a night out at a tavern when he was ","Mister Hewitt, who was a drunkard, had come home after a night at the tavern when he was a drunken","After a night's stay at the tavern, Mr. Hewitt had come home drunk. ","“After a night’s stay at the tavern, Mr. Hewitt went home drunk. ","“After a night’s stay at the tavern, Mr. Hewitt went home drunk. ",a Northumbria man was found on the side of the A66 in March 2014 with severe injuries to his groin. The victim said he was,"The man had suffered a great deal of damage to his groin. He was found on the side of the A66, with severe injuries to his groin",He was found on the side of the A66 with a severe wound to his groin. He suffered a great deal of pain in his groin.,He had suffered a great deal of pain in his groin. He had been found on the A66 at the corner of the A66.,He was found on the A66 in the corner of the A66. He suffered from pain in his groin.,He was found on the A66 in the corner of the A66.
"American Troy Bradley and Russian Leonid Tiukhtyaev landed safely, their Two Eagles Balloon team said.
They claim to have beaten the world distance and duration records by flying for more than 137 hours and travelling more than 5,209 miles (8,383km).
To set the records the team needed to beat the existing records by 1%.
""The Two Eagles balloon team is pleased to report the Two Eagles balloon has landed safely just off the Baja coast near La Poza Grande,"" their team said in a statement.
""The pilots made a controlled descent to a gentle water landing about four miles off the Baja coast. The balloon is stable and still inflated and the pilots are fine.""
The two pilots left Japan on Sunday and had aimed to land in Canada or the US. However, weather forced them to change course towards Mexico.
They were met in the sea by a Mexican fishing boat.
The statement stressed that the sea landing was acceptable ""under the international rules governing the establishment of world records"".
""Two around-the-world attempts using a different type of balloon landed in the water and were approved as records.""
The two pilots needed to beat the existing records - both set in 1981 - by 1%.
For duration that meant staying aloft for about 138 hours and 45 minutes, and for distance they needed to travel about 5,260 miles.
The Two Eagles Balloon team said the landing ""occurred at six days, 16 hours and 37 minutes"", with the pilots covering the distance of 6,646 miles.
Gas-air balloons are difficult to steer, relying on the differing wind speed and direction at different altitudes.
In order to change height the pilots have only a helium release valve to go down and sandbags to jettison to go up.
The hi-tech ""Two Eagles"" balloon is made of a strong Kevlar and carbon-fibre composite, but weighs only 220 pounds (100kg).
It is fitted with monitors and other instruments that track their course and compile data to be submitted to record-keepers.
The specially-designed capsule sits beneath a huge helium-filled envelope and is designed to stay aloft for up to 10 days. The pilots live in a closet-like space with a very low ceiling.","Two pilots in a helium balloon have completed their crossing of the Pacific with a sea-landing off Mexico, setting new milestones on a six-day trip.",two men were flying near the island of Ternopil in the Barents Sea when they saw a bright light. The American Troy Bradley and Russian Leoni,"Troy Bradley and Russian Leonid Ivanovich. Two men, fleeing near the island of Ternopil in the Barents Sea, were seeing","Two men, fleeing from the island of Ternopil, near the Barents Sea, saw two men coming up the island, Troy Bradley and Russian Leon","Then, rushing from Ternopil to the Barents Sea, a group of men was seen approaching. Troy Bradley and Russian Leon Trotsky were",Troy Bradley and Leon Trotsky were seen approaching from the Barents Sea. ,The barents of the sea are still closed. Troy Bradley and Leon Trotsky are approaching from the Barents Sea. ,"the American Troy Bradley and Russian Leonid Tiukhtyaev landed safely in a field of about 10,000 trees near the Russian-Ukra","They landed in the forest of about 10,000 trees near the Russian-Ukrainian border.","The Russian-Ukrainian border, about 10,000 trees, surrounded the forest.","The forest around the border, which is on the border of the Russian and Ukrainian, has been filled with thousands of trees. ","The forest around the border, which runs between the Russian and Ukrainians, is filled with thousands of trees. ","‘The forest, which runs between Russians and Ukrainians, is full of thousands of trees. "
"RamJam uploaded Southern Rail Tycoon on Thursday, and so far 45,000 people have played the tongue-in-cheek game.
The aim is to stop guards from boarding trains, which leads to services being cancelled as profits are collected from passengers.
It was inspired by months of cancellations due to an RMT dispute.
Once a sufficient number of train guards board on a train and a delayed service eventually departs, the player loses the game.
Brighton-based developer Tom Jackson said: ""We all were planning to go to London a month ago and trains were delayed, then delayed, then delayed and then eventually cancelled.
""We were so frustrated by the whole thing that we've stopped using the trains.""
Mr Jackson, along with his colleagues Phil Hart and Toby Funnell, developed the game as a result of that experience.
The 39-year-old said that the purpose of the game was a mixture of providing commuters with something fun to do while waiting for delayed trains and also making people aware of the compensation policy.
When the game is over, links appear to the Southern Rail compensation page and twitter account.
He added: ""We like to do pieces that are reactive and demonstrate the impact [news events] have on people.
""It's incredibly frustrating, the train service is an absolute shambles.""
A Southern Rail spokesman said: ""Southern makes no money by cancelling trains - in fact the opposite is true.
""We are trying hard to give passengers the best service possible under very difficult circumstances and apologise sincerely.""
The RMT union and GTR are in a dispute regarding the proposed introduction of more driver-only operated (DOO) services, which would change conductors' roles.
As a result of regular walkouts, Southern cancelled 341 daily train services on 11 July to improve ""reliability"". Since then 15 have been reinstated.
Rail minister Claire Perry resigned on Friday as a result of the months of delays on the line, managed by Govia Thameslink Railway.
On Monday, new Transport Secretary Chris Grayling said resolving the strike action was ""top of his priority list"".",Web developers frustrated by months of delays on Southern Rail have used their experience as inspiration for an online game which lampoons the company.,. The player can choose between a number of routes and make their own journeys. The player can choose between a number of routes and make their own journey,"The player chooses between a number of routes, and can decide on his own journey. ","The player can choose among the many routes he chooses, and then he decides what he will do. ","The player can choose among the many paths he wants, and then he decides what he will do. ",", the player chooses the best paths. ",The player chooses the best path. ,"game is set on a railway line in South Africa, where the aim is to build a Southern Rail line and get passengers to their destinations in as little time as","He said, “The tiger-tiger, a great man, is on the mind of the Emperor of South Africa and is playing for a fortune.","“The Tiger Tiger, a great man, is on the mind of the Emperor of South Africa, and he is a rich man. ","“The Tiger Tiger, a great man, is the ruler of South Africa and the king of South Africa, and he is rich. ","The Tiger Tiger is a very great man, he is the ruler of South Africa and the king of South Africa. ",“The Tiger Tiger is a great man. He is the ruler of South Africa. 
"Halfpenny's contract at Toulon ends in summer 2016, with Cardiff Blues reported to be interested in re-signing the player.
The 26-year-old left the Blues for France in the summer of 2014.
""He's no different to anyone else. If he is serious about returning we'd be interested to talk to him,"" said Pivac.
""We don't have an endless budget, but I've said it earlier and nothing has changed.
""If there's any returning Welsh players we'd like to have the opportunity to talk to them just to check what's going on in the market-place and find out their value.""
It is likely any return to Wales by the 2013 British and Irish Lions full-back would be on a national dual contract funded 60% by the Welsh Rugby Union.
Under the terms of the agreement between the four regions and the WRU, the player's region of origin would have first refusal on a player returning to Wales - suggesting the Blues would be favourites.
However, flanker Dan Lydiate opted for Ospreys ahead of his old region Newport Gwent Dragons when he returned to Wales from Racing 92.
Another factor could be whether Halfpenny could join a region that qualifies for the 2016-17 European Champions Cup.
Scarlets and Ospreys are Wales' representatives in this season's tournament, and the Blues will have to show a marked improvement in their Pro12 form to qualify for next season.
With Halfpenny having won the tournament with Toulon last season, the chance to play in Europe's premier club event could be a major lure.
After watching his side beat Zebre 20-12 in the Pro12, Pivac also said the Scarlets are keen to hold on to club captain Scott Williams.
The Wales centre - like Halfpenny - is currently out of action after surgery.
Williams is already on a dual contract, which runs out in the summer of 2016.
""I know he's contracted until the end of the season and hopefully we'll get some rugby out of him in that time,"" said Pivac.
""There's lots of things happening behind the scenes at the moment and I'm not really in a position to give you anything that hasn't already been given out in a press release.
""Scott is our vice captain, one of leaders so we certainly don't want him going anywhere.""","Scarlets coach Wayne Pivac says he would be interested in talking to full-back Leigh Halfpenny ""if he is serious"" about returning to Wales.",Wales captain Warren Gatland has said he will not be pursuing a second-row role for the autumn internationals. Wales' 29-year-,"I’m sure I’ll never find a better captain.’ The captain of Wales, Warren Gatland, said in his own words that he would","The captain of Wales, Warren Gatland, said in his own words that he would find a better captain. I'll find no better captain. ","I will find no better captain. The captain of Wales, Warren Gatland, said in his own words that he would find a better captain. ","Warren Gatland, the captain of Wales, had said himself that he would find a better captain. I will find no better captain. ","I shall find no better captain. Warren Gatland, captain of Wales, had told himself he would find another captain. ",squad will travel to France for a pre-season training camp from Thursday to Saturday. The squad will then travel to France for a pre-season training camp from,The squad will go to France for a training camp from Thursday to Saturday. ,From Thursday to Saturday the squad will train in France. ,I hope the French can keep me in the fold. The first two days are the first to go to France. ,The first two days are the first days of going to France. I hope the French will keep me. ,"I am hoping that the French will keep me. I shall spend the first two days in France, the first days in the capital. "
"Five CCTV cameras have been set up in rural areas across the city.
Government figures showed there were 29,253 fly-tipping incidents in West Yorkshire alone which costing councils a total of ¬£1.7m to clear.
Strategic director for environment Steve Hartley said the aim was to provide evidence for the courts.
""Installing the cameras is just one of a number of things we do to deter fly-tippers, catch offenders and encourage people to dispose of their waste responsibly.
""If rubbish is tipped on council land we clean it up as soon as possible and we try to ensure private landowners do the same."" he said.",Bradford Council has installed hidden cameras to catch illegal fly-tippers who cost authorities in Yorkshire nearly ¬£3.5m last year.,"police say the figures are down from an average of 35,000 incidents a year over the last decade. Police say the figures are down from an average of 35,000 incidents",During the last decade the average number of attacks on the town has dropped to less than three thousand. ,"It is a decade since the attacks on the town were not more than 3,000.","During the past decade, there have been no attacks on the town as many as three thousand. ",“In the past decade there have been no attacks on the city as many as three thousand people. ,"“There have been no attacks on the city for more than three thousand people, but there have been no attacks on the city in the last decade. ","almost half of those who had been victims of fly-tipping had been left with little to show for it, with just £3.50 to £5.50 to show","He had left a widow, who had been left with little to show for his troubles. In fact, he had given away about six or seven hundred pounds, which",The widow had left him some six or seven hundred roubles. ,The widow left him some six or seven hundred roubles. ,He gave up some six or seven hundred rubles. ,He gave up some six or seven hundred roubles. 
"29 August 2017 Last updated at 08:24 BST
Catch up on all the results, the goal scorers and the stories making the headlines with Match of the Day Kickabout.
MOTD Kickabout is on every Saturday morning at 7.45am on the CBBC channel.
You can also watch the latest episode on CBBC iPlayer.",It's been another busy weekend in the Premier League.,Real Madrid's Cristiano Ronaldo scored his first ever hat trick against Barcelona on Sunday. The Portuguese striker took advantage of a loose ball and his first,The Portuguese striker made good use of the loose ball to get his first goal. ,The Portuguese forward made the most of the ball and got his first goal. ,The Portuguese forward made a good use of the opportunity and got his first goal. ,"During the turn, the Portuguese defender was able to take advantage of the situation and got his first goal. ","In the end, however, the Portuguese defender was able to make use of the situation to find a way forward. ","Live blog featuring all the results, goals and scores from our live blog. Available only to UK users only.","The live blog includes all the results, goals and results of our live blog. ","This is the official blog, a written version of the live blog. ","“This is the official blog, the written version of the live blog. ",“This is the official blog. ,‘This is the official blog. 
