originalSentence1,originalSentence2,gpt_text,gpt_p_text_1,gpt_p_text_2,gpt_p_text_3,gpt_p_text_4,gpt_p_text_5,opt_text,opt_p_text_1,opt_p_text_2,opt_p_text_3,opt_p_text_4,opt_p_text_5
Why is A.R. Rahman called as “The Mozart of Madras”?,Why is A R Rahman called Mozart?,Why is A.R .G.U.S. such a powerful organization? A.R.G.U.S. is the,“Why does A.R.G.U.S. have such a strong name? ,“Why is A.R.G.U. so big? ,“Why is A.R.G.U. so big? ,‘What do you mean by A.R.G.U.’ ,“What do you mean by ‘Arrogance’?’ ,"Why is A.R. Rahman not here? Because he's not the best composer? I don't think he's the best composer,","Why doesn't Alyosha be here? Because he is not the best composer, why doesn't he sing? ","‘But why doesn’t Alyosha come to the house? He’s not the best composer, why doesn’t he sing? ","“But why doesn’t Alyosha come? He’s a bad composer, why doesn’t he sing? ","Why didn't Alyosha come? He is a terrible composer, why didn't he sing? ",“Why didn’t Alyosha come?” 
What is the expected cutoff for KVPY 2016 SA -stream 2016?,What is the Expected cutoff for KVPY SA stream 2016?,What is the expected cutoff for the first round of voting for the Democratic presidential primary? The cutoff for the first round of voting for the Democratic presidential,The first round of voting for the Democratic presidential candidates is due by January 15. What is the date for the first round of voting for the Democratic presidential candidates?,What is the date of the first presidential ballot? The first ballot for the Democratic candidate is due by January 15.,What is the date of the first presidential ballot? The first ballot for the Democratic party is due by January 15.,"The first ballot for the Democratic party is due to be given on January 15, 2014.","On January 15, 2014, the first ballot of the Democratic party is due to be presented.","What is the expected cutofffor the first round? I don't know, I just want to get in!",I don’t know. I just want to get in! What is the cut-off for the first round? ,What's the cutoff for the first round? I don't know. I just want to get in! ,I’m just going to have to get in! What’s the cutoff for the first round? I don’t know. ,What is the cut-off for the first round? I don’t know. All I want is to get in! ,I don’t know. All I want is to get in! What’s the cut-off for the first round? 
"In Java, how do you iterate a list?",How can I iterate an Arraylist in Java?,"In Java, how do you make a function return a value? The most obvious answer is to pass the return value as an argument. But if the return","And so, how to give the value to the function? The most obvious solution is to give the value of the function to the argument. ",And so how should we assign the value of the function to our argument? The obvious answer is: assign the value of the function to the argument. ,"Surely the answer is clear, to assign the value of the function to the argument. ",Surely the answer is clear: it must be the value of the function. ,There is no doubt that the answer is the value of the function. ,"In Java, how doI get an object that has the same name as a method? I'm trying to get an object that has the",How can I find a 'class' in Java? How can I get an object that has the same name as a method? ,And how can I get the object that has the same name as a method? ,And how to get a thing with the same name as a method? ,And how can a thing be called a method? ,But how can a thing be called a method? 
What are the best resources for learning how to read body language?,What's some good ways to learn body language?,What are the best resources for people to find out more about how to become a vegan? The Vegan Society: The Vegan Society is the UK's,The Vegan Society. The Vegan Society is the leading voice for the dietary diet. ,The Vegan Society is the leading voice in the diet. ,", the vegans are the leading voice. ","""The people are the one who is the one who is the one who is the leader. ",‘The people are the leader. ,What are the best resourcesfor a beginner? I would recommend the beginner guide by the guy who wrote the book. I think it's called the,"The book is called the Beginner's Guide. It is a book of the first step, the first book. ",It is a book of the first steps. It is called the 'First Book of the first step'. ,It is called the First Steps of the First Steps. ,It’s called the First Steps. ,The First Steps. 
What are the biggest pluses and minuses about life as a foreigner in Singapore?,What does it feel like for a foreigner to work in Singapore?,What are the biggest pl uses of this game? The biggest pluses of this game are the following: The graphics are amazing. The,It is amazing. What are the most notable features of the game? ,What do you think of this game? What are the best features of it? Amazing! ,What do you think of this game? What are the best features? ,What do you think about this game? What are its most pleasant features? ,What do you think of this game? What are its most attractive features? ,What are the biggest pluses and minuses of a job? I’ve been thinking about this for a while now. I�,I’ve been thinking about it for a long time. What are the most advantageous and disadvantages of a job? ,What do the advantages and disadvantages of a job entail? I’ve been thinking about it for a long time. ,I’ve been thinking about it for a long time. What are the advantages and disadvantages of a job? ,Those are the advantages and disadvantages of working? I've been thinking about it for a long time. ,I've been thinking about it for a long time. What are the advantages and disadvantages of working? 
Have you ever met a celebrity who was nicer than you expected?,Who's the nicest celebrity you've ever met?,"Have you ever met a man who didn't want to be married? A lot of guys want to marry and settle down, but they don't","You are all rushing off to marry, to settle down and make a good life. Have you ever met a man who didn't want to be married?","You have not met a man who does not want to be married. You rush to marry, settle down, and make a good life. ","And it is as if you were in a hurry to marry, to settle down, and to live a good life. You have never met a man who","You have never met a man you could not get along with. It’s as if you were hurried to marry, settle down and live the good life","You have been hurrying to marry, settle down, and live the good life. You have never met anyone who could not get along with you. ",Have you ever met aguy who was a good friend? I’ve been thinking about this for a while. I’ve,I’ve been thinking about it for a long time. Have you ever met a good friend of mine? ,I've been thinking about it for a long time. Have you met my good friend? ,Have you met my friend? I have been thinking about it for a long time. ,I have been thinking about this for a long time. Have you met my friend? ,Have you met my friend? I have been thinking about it for a long time. 
How many people approximately drop a year to study for JEE all over India?,Approximately how many students drop a year for JEE Mains?,How many people approximately drop dead from heart disease every day? The most reliable data available from the Centers for Disease Control and Prevention shows that about 300,The most reliable and reliable data from the Centers for Disease Control show that about 300 people die of heart failure every day.,He is dead in the day after the death of his wife. The latest data from the National Institute of Health shows that one in three people dies of heart failure every day,"The latest study by the National Institute of Health shows that in three or four cases, each one dies of heart failure. One such case was the death of his wife the","In one case, the death of his wife, according to the recent study by the National Institute of Health, one of the three or four persons dies of heart failure.",At least three or four people died of heart failure. ,"How many people approximately dropby the store? I don't know, I don't go to the store anymore. I just go to the store",I don’t know. I don’t go to the store anymore. How many people pass by the store? ,"Why, I don't know. How many people pass through the shop? I don't know. ",What do you mean by that? I don’t know. How many people pass through the shop? I don’t know. ,How many people passed through the shop? I don't know. What is it that you want to do? I don't know. ,Why do you do it? I don't know. How many people passed through the shop? 
Is air a good conductor or a bad conductor of heat?,Is air one of the best insulators of heat?,Is air a good conductor of electricity? The answer to the question depends on how much you want to know and the amount of power you want to,The answer depends on the kind of question you want to ask and the amount of electricity you want to use. Is air a good conductor of electricity? ,It’s not known whether the air is a good conductor of electricity. It’s up to you to decide. The way you answer is up to you and,The question you are deciding is up to you. It is not known whether air is a good conductor of electricity. ,This is all up to you. You decide whether air is good conductor of electricity. ,You have to decide whether air is a good conductor of electricity. ,Is air a good conductor? I'm trying to find out if air is a good conductor. I've been reading up on this topic for,"I've been studying it for a long time, and I want to know if air is a good conductor. Is air a good conductor","The air is a good conductor, and it is a good conductor. I have studied it a long time, and I want to know if it",It’s a fine conductor. It’s a fine conductor. I’ve been studying the air for a long time and I want to know,"I have been looking into the air for a long time, and I want to know how it works. It’s a good conductor. ","It is a good conductor. I have been looking into the air for a long time, and I want to know how it works. "
"""What does """"All's Fair in Love and War"""" mean?""",What does all is fair in war mean?,"""What does """"All the best"""" mean? What does it mean for me? The most important thing is for me to have the best time","""All the best to you! What does it mean for me? The most important thing is for me to have the best time. ","“A good day, my dearest! I’ll see you at the helm. ","“Have a good day, my dear! I’ll see you in the saddle. ","“Have a good day, my dear! I will see you in the saddle. ","“It’s good day, my dear, and I’ll see you on the saddle. ","""What does """"Allthe time"""" mean? I mean, I get that it's supposed to be an answer to the question,","“All the time”? I don’t get it, it’s the answer to the question. ","“All the time,” is the answer. I don’t understand it, it’s the answer. ","I don’t understand it, it’s the answer. ‘All the time’ is the answer. ","“All the time,” that is the answer. “I do not understand. It is the answer. ","""I don't understand. It's the answer. "" "
How To know if you are with the right partner?,How do I know that I have found the right life partner?,"How To know if you are a good fit for the program The program is designed for people who have no previous experience with writing, and for people","You will be given an overview of what is being said in the course, which is aimed at students who have no prior knowledge of writing. ","You will have a detailed explanation of what is being said in the course, which is aimed at students who have no previous knowledge of writing. ","In this course you will learn to write in a way that is completely new to you, aimed at students who have no previous knowledge of writing. ","“In this course, you will learn how to write without the usual knowledge, aimed at the most inexperienced students. ",“This is a class that has nothing to do with the usual knowledge of writing and it’s for the most inexperienced students. ,How To know if you're a good parent? I'm a parent and I've been trying to find out if I am a good parent,I'm a parent and I've been trying to find out if I'm a good parent. ,“I’m a parent and I’m trying to find out if I’m a good parent. ,‘I’m a parent and I’m trying to find out if I’m a good parent. ,"""I'm a parent, I'm trying to find out if I'm a good parent. ","I'm a parent, I'm trying to find out whether I'm a good parent. "
