originalSentence1,originalSentence2,gpt_text,gpt_p_text_1,gpt_p_text_2,gpt_p_text_3,gpt_p_text_4,gpt_p_text_5,opt_text,opt_p_text_1,opt_p_text_2,opt_p_text_3,opt_p_text_4,opt_p_text_5
The dollar rose 0.6 percent to 109.54 yen < JPY = > and climbed more than 1 percent to 1.3315 Swiss francs < CHF = > .,The dollar rose around 0.6 percent against the Japanese currency to 109.51 yen < JPY = > and climbed 1 percent against the Swiss franc to 1.3302 francs < CHF = > .,"The dollar rose 0.3 percent to $1.3240 per euro, while the euro was little changed at $1.3240. The dollar index","The dollar was gaining 0.3 percent to $1.3240, and the Euro was less than $1,400.","The dollar was up 0.3 percent to $1.3240. The Euro was less than $1,400.","It was a little over $2,000. The Euro was not much more than $3,000.",The Euro was not much more than a thousand roubles. ,The Euro was less than a thousand rubles. ,"The dollar rose 0.2 percent against the yen to 111.85 yen, after hitting a two-week high of 111.90 yen on Friday.",On Friday the yen rose by 0.2 percent against the yen. The yen fell by 0.2 percent against the dollar. The pair had hit,The pair had fallen to the tenth day of the previous month. On Friday the yen rose by 0.2 percent against the dollar.,On Friday the yen rose by 0.2 percent against the dollar. The pair had fallen to the tenth day of the previous month.,"But if you were to use the yen as an example, you would have a hard time keeping up the momentum. On Friday, the dollar fell by","But you would have to think of the yen as an example, and I doubt if you would be able to sustain the momentum. "
""" We have sent a message to the nation that this is a new Louisiana , "" she told a victory party in New Orleans .",""" We have sent a new message out to the nation ‚Äî that this is a new Louisiana . """,""" We have sent a letter to the Prime Minister and the Minister of Justice, asking them to ensure that the law is enforced. ""We are also asking the","“And besides, we are admonishing the Prime Minister and the Minister of Justice to be vigilant and enforce the law. ",“We will also advise the Prime Minister and the Justice Minister to be vigilant and to be on guard.” ,“We will advise the Prime Minister and the Justice Minister to be on guard.” ,“We are taking advice from the Prime Minister and the Justice Minister. ,“We have advice from the Prime Minister and the Justice Minister. ,""" We have sent a team to investigate the incident and will take appropriate action against the person responsible."" The incident comes just days after a man was arrested in","The incident came just days after a man was arrested in a secluded spot on the hill. “We have sent an investigation to investigate the matter, and","“We are looking into it, and we have been sent for to investigate.” The incident happened a few days later when a man was arrested on the hillside",He was arrested on the mountainside a few days later. ,He was arrested on the mountainside several days later. ,"After several days, he was arrested by the mountains, on the mountainside. "
"According to the survey , last years identity theft losses to businesses and financial institutions totaled nearly $ 48 billion and consumer victims reported $ 5 billion in out-of-pocket expenses .","Identity theft cost businesses and financial institutions nearly $ 48 billion and consumer victims reported $ 5 billion in out-of-pocket expenses last year , according to the FTC .","According to the survey, the average age of a first-time buyer is now 27. The average age of a first-time buyer is now 27.","At the time of the survey, the average age of a first-time buyer was 27.",The survey reported that the average age of a first-time buyer was 27.,The survey showed that the average age of the first time buyers was 27.,"In the survey, it was found that the average age of the first buyers was 27.",They had said that the average age of the first buyers was 27.,"According to the survey, the number of people who have been diagnosed with depression has increased by more than 50% in the last decade. The survey also found",“But it was not just the depression that caused this epidemic. In the last decade the number of people with the condition of depression has increased by more than ten times,"Besides, it's not only depression that's been spreading. In the last decade, the number of people suffering from depression has grown by more than ten","And it’s not just depression that’s spreading. In the past decade, for example, there have been more than ten times as many people who suffer from","In the last decade, for example, it has amounted to ten times more people than ever. And it's not just depression. ",The depression and suffocation of the last decade alone have been ten times more commonplace. And that's not just the depression. 
"The largest gains were seen in prices , new orders , inventories and exports .","Sub-indexes measuring prices , new orders , inventories and exports increased .","The largest gains were seen in the Midwest, where the number of people with a bachelor's degree rose by 1.4 million, or 2.1 percent, to 11","And it has been a growth of 1.4 million in the Midwest, to 11 million students, or 2.1 percent, of all those with a degree, to","The Midwest has added 11 million students, or a 1.2 percent increase in enrollment.","The Midwest has added eleven million students, or a two-thirds increase, a 1.1 percent increase.","It's a hundred-year period, it's a year. The Midwest has an extra eleven million students, or about two-thirds of the","“It’s a hundred years, it’s a year. The Midwest has an extra eleven million students, which is about two-thirds of","The largest gains were seen in the energy sector, which rose 1.4 percent. The S&P energy index was up 1.8 percent, the biggest gain","The S&P energy index gained 1.8 percent, the biggest gain in a row.","Isn't it? The index of the S&P 500 has gained 1.8 percent, the largest gain in a row.",Isn't that what you think? ,‘What do you think?’ ,“What do you think?” 
"In Falluja on Thursday , two grenades were thrown at soldiers from the Third Armored Cavalry Regiment , wounding seven .","In Al-Fallujah , two grenades were thrown Thursday at soldiers from the 3rd Armored Cavalry Regiment , wounding seven , none seriously .","In Falluja on March 17, 2011, a U.S. Army convoy was attacked by insurgents. The convoy was carrying a group of U.S. Marines","And in March 2011, the convoy of the United States was attacked in Falluja. The convoy, which was carrying the U.S. army's entire","The convoy, which was carrying the entire army of the United States, was attacked by the Russians in March 2011.",Then in March the convoy was attacked by the Russians. ,"“There was a fight, and we were taken aback in March. ","he said. ""There was a fight, and we were stunned in March. ","In Falluja on the outskirts of Baghdad, a group of young men are playing soccer. They are wearing the traditional Iraqi soccer jersey, with the name of the","The shirts of the Kurdish national team, the name of the Iraqi army, the name of the national team, are in their hands, and the players","The shirts of the Kurdish team, a description of the army of Iraq, the name of the national team, are in their hands. ","Among them, they held the shirts of the Kurdish army, the description of the army of Iraq, and the name of the team. ","‘The shirts of the Kurdish army, the description of the Iraqi army, and the name of the soldiers were inscribed on their sleeves. ","The uniforms of the Kurdish army, the description of the Iraqi army, and the name of the soldiers, were embroidered on the sleeves. "
"He added that we are "" not going to make progress if we don 't broaden the tent . """,He added Democrats are not going to make progress if we dont broaden the tent .,"He added that we are ""not going to be able to solve the problem of climate change"" without a ""massive shift in the way we produce energy."" ""","“If we cannot solve the climate problem,” he said, “we must be able to change the way we produce energy.” ","Then he said: “If we can’t solve the climate problem, then it is necessary to change the way we produce energy.” ","Then he said: ""If we can't solve the climate problem, it is necessary to change the energy system. ","“If we can’t solve the climate problem, we need to change the energy system.” ","If we can’t solve the climate problem, then we must change the energy system.” ",He added that we are not going to be able to get a good deal on a new QB. I think we can get a good deal on a new QB,I believe we can get a good deal on a new QB. He added that we can't get a good deal on a new QB,He went on to say that we could not get a good deal on a new QB. He added that we couldn’t get a good deal on,He went on to say that we could not buy a new quarterback. ,He said that we could not buy a new quarterback. ,He said that we could not buy a new quarterback. 
"The 39-year-old Luster initially gave police a false name , but later revealed his true identity .",Barrera said Luster gave police a false name immediately after his arrest Wednesday but later revealed his true identity .,"The 39-year-old, who has been in the spotlight since the incident, was arrested on suspicion of assault and taken to a police station. He was","The young man, who has been a hotly-contested figure since the incident, was arrested on suspicion of assault, arrested on a charge of assault, and","‘The young man, who had been a hot-blooded figure in the area since the incident, was arrested on suspicion of assault, and, as ",", and he was arrested on the suspicion of assault. The young man had been a man of the city, a violent and virtuous man","The young man had been a good and virtuous man, and had been arrested on suspicion of assault. ","The young man was a decent, virtuous person, and was arrested for a charge of assault. ","The 39-year-old actor, who is married to actress Jennifer Garner, has been married to the actress since 2005. The couple have two children together","He has been married to the actress, Jennifer Garner, since 2005.",He has been married to Jennifer Garner since 2005.,"The couple have been married for three years. Jennifer Garner, who has been a friend of the family, has been married to him since 2005.","Jennifer Garner, who was a friend of his family, was married to him in 2005. They were married for three years.","They were married for three years. Jennifer Garner, a friend of his family, married him in 2005."
"Massachusetts does not have a state death penalty , and only once before - in Michigan - has the federal death penalty been given in a state without capital punishment .","Massachusetts has no state death penalty , and only once before -- in Michigan -- has the federal death penalty been given in a state without capital punishment .","Massachusetts does not have a state law that prohibits discrimination on the basis of sexual orientation. However, the state does have a law that prohibits discrimination based on gender identity.",The state of Massachusetts does not have a law that prohibits discrimination against gender. ,The State of Massachusetts has no statutes that expressly forbid the discrimination of a gender. ,"But no state laws or decrees, that is, do not forbid the discrimination of a woman.","But no state laws, or laws that forbid the discrimination of a woman, are hereby given. ","Then there are no state laws, and no laws forbidding the discrimination of a woman. ","Massachusetts does not have a state income tax. I'm not sure if you're being sarcastic or not, but I'm not sure if you're being serious","It's not sure whether you are sarcastic or not, but I don't know if you're serious. Massachusetts has no state income tax",Massachusetts has no state income tax. It's not clear whether you're being sarcastic or not. But I don't know whether you're,But I don’t know whether you’re sarcastic or not. Massachusetts has no state income tax. ,You may be sarcastic. But I don't know if you are sarcastic. ,", I’m not sure if you’re sarcastic, but I’m not sure. You’re funny. "
"The S3C2440 CPU supports major operating systems including Microsoft Windows CE / Pocket PC , Palm OS , Symbian , and Linux .","It supports the Windows CE , Palm , Symbian , and Linux operating systems .","The S3C24-2 is a 2-channel, 24-bit, stereo, digital-to-analog converter. It is a high-performance,","The S3C24-2 is a stereo, 24-bit, digital-to-analog converter.","“The S3C24-2 is a 24-bit stereo DAC, and the digital to analog converter.","""The S3C24 is a stereo DAC, and a digital converter.","“The S3 is a DAC, a digital converter.",‘The S3 is a DAC. It’s a digital converter.,The S3C24 is a great little camera. I have one and it's great. I have the S3C24 and I love it. I,I have a Sony A-330 and I love it. The Sony A-330 is a great camera.,I have a Sony A330 and I love it.,The Sony A330 is a great machine and I love it.,"""It's a great machine, I like it. I'm using the Sony A330, it's a great machine, and I'","I’m using the Sony A330, it’s a great machine, and I like it."
"He admits he occasionally lived the life of a playboy : smoking pot , chasing women and living fast and loose .","Schwarzenegger has admitted to occasionally living the life of a playboy : smoking pot , chasing women and living fast and loose .","He admits he occasionally lived in a ""state of denial"" about his sexual orientation. ""I was a very private person,"" he said. ""I didn't","“I was very private,” he said, “I never knew what I was like. I’m not sure I ever told anyone what I was like, or","""I was very secret,"" he said. ""I didn't know what I was like. ",", he said. “I wasn’t very sure what I was like. ",he added. ‘I didn’t know what I was like. ,he added. “I did not know what I was like. ,"He admits he occasionally lived in a tent in the woods, but he says he was never homeless. ""I was a very successful businessman,"" he said.","“I was a very successful businessman,” he said. He admitted that he sometimes stayed in a tent in the woods, but he",He was not a good-for-nothing tradesman. He told me that he sometimes stayed in a tent in the woods.,He was not a rascal. He said that he sometimes stayed in a tent in the woods. ,He said he sometimes stayed in a tent in the woods. He was no fool. ,"He was no fool. He said he used to spend his time in the woods, but that he never slept. "
He found that men who had ejaculated more than five times a week in their 20s were a third less likely to develop aggressive prostate cancer later in life .,Those who ejaculated more than five times a week were a third less likely to develop serious prostate cancer in later life .,He found that men who had been in prison for a year or more were more likely to be unemployed than those who had been out for less than a year.,The researchers found that a man who had been in prison for a year or more was much more likely to be unemployed than a man who had been out,It was found that the prisoner who had been in prison for a year or more was much more likely to be unemployed than the prisoner who had been out,Those who were in prison for more than a year were much more likely to be unemployed than those who had been released. ,He also had a heightened need to be unemployed. Those who were in prison for more than a year were almost as likely to be unemployed as,A prisoner who was not in prison for more than a year was almost as likely to be in prison for unemployment as those who were in prison for longer. ,He found that men who were more likely to be in the top quartile of income were more likely to be in the top quartile of body mass index.,The man was a man of the highest income. ,The man was an important person. ,The man was a prominent person. ,Those were the able men. ,Those were able men. 
"In addition to HP , vendors backing SMI-S include Computer Associates , EMC , IBM , Sun and Veritas .","Computer Associates , EMC , IBM , Sun Microsystems , and VERITAS are also onboard to support the storage standard .","In addition to HP, the company also announced that it will be offering a new line of HP ProLiant DL380 Gen9 servers, which will be available in both","The company announced that it would be launching its new HP ProLiant DL380 Gen3 servers, a new line of HP DL380 servers.",", there will be a new generation of HP ProLiant servers, which will be used by HP ProLiant. ","“In this era of HP ProLiant servers, a new generation of HP ProLiant servers will be introduced.” ",“It is the era of HP ProLiant that we are going to see the new generation of HP ProLiant.” ,The new HP Pro-Liant comes on a new generation of HP Pro-Liant.” ,"In addition to HP, I would also recommend the following: * The Witcher 3 * The Witcher 2 * The Witcher 1 * The Witcher 2: Assassins of Kings",", the Assassins of Kings. In addition to the above, I will recommend this prank: The Witcher 3, The Witcher 2",But I should like to point out another trick that you can use: The Witcher 3. The Witcher 2. The Assassins of Kings.,The Witcher. The Assassins of Kings. I will note that you can use this trick too. ,You must note that you can also use this trick. The Assassin of Kings. ,The Assassin of Kings. You must note that it is also possible to use this trick. 
WHO noted that most resistant bacteria growth among humans was due to overuse of antibiotics by doctors -- not due to farmers .,"The WHO said in a report on Wednesday that most resistant bacteria growth among humans was not due to farmers , but to overuse of antibiotics by doctors .","WHO noted that most resistant strains of the bacteria are resistant to at least one antibiotic, and that the number of resistant strains is increasing. ""The emergence of resistant","""The development of resistance"" was the name of the bacterium. It was said that the most resistant strains of the bacteria were resistant to at least one antibiotic",The bacterium was called the development of resistance. It was said that the most resistant strains were resistant to at least one antibiotic. ,It was said that the most resistant bacteria were resistant to at least one antibiotic. ,The most resistant organisms were resistant to at least one antibiotic. ,“The most resistant organisms were those that were resistant to at least one antibiotic. ,"WHO noted that most resistant strains of the virus are found in the United States, Europe, and Australia. The WHO said that the virus is spreading in the","The WHO reported that the virus is spreading in the United States, Europe, and Australia. ","And the WHO says the virus has spread to Europe, the Americas and Australia. ","Moreover, the virus has spread to Europe, America, Australia, and Australia. ","Moreover, the disease has spread to Europe, America, Australia, and the world. ","As a result, the disease spreads to Europe, America, Australia, and the world. "
