originalSentence1,originalSentence2,gpt_text,gpt_p_text_1,gpt_p_text_2,gpt_p_text_3,gpt_p_text_4,gpt_p_text_5,opt_text,opt_p_text_1,opt_p_text_2,opt_p_text_3,opt_p_text_4,opt_p_text_5
Former Auburn QB Bo Nix announces he will transfer to Oregon,Auburn transfer QB Bo Nix has committed to Oregon @DSArivals @rivalsmike,"Former Auburn QB Bo N inkovich will not return for his senior season, but his former teammate will be back","A former Auburn QB Bo N inkovich will not be back for the senior season, but his former colleague","Besides, the Auburn quarterback will not be returning this season. ",That Auburn quarterback will not return this season. ,He won't be back this season. ,He won't be back this season. ,"Former Auburn QB Bo Nix signs with the Raiders AUBURN, Ala. – The Raiders have",The Raiders announced the signing of Bo Nix. Former Auburn quarterback Bo Nix is to join the Rai,The Oakland Raiders have announced the signing of Bo Nix. The former Auburn quarterback is to join the Oakland,It is the former Auburn star who has been drafted by the Oakland Raiders. Bo Nix is to,Bo Nix is to be the next quarterback. It is a former Auburn player who was drafted by the,"He was a former Auburn player, who was drafted by the University of Alabama. He was the next quarterback"
@BumbleCricket So sorry to see you go Bumble .,@BumbleCricket I will definitely miss you Bumble .,@BumbleCrick et/status/522529071807886528 The ICC,The ICC /status/#22245770719886528,"The ICC i.e., 222457707196528","The International Criminal Court, i.e., 222457707196528.",“-222457707196528,“Sir — 222457707196528.,@BumbleCricket @BumbleCricket @BumbleCricket @Bumble,BumbleCricket BumbleCricket BumbleCricke,BumbleCricket – BumbleCricket – BumbleCricket ,Bumblecutter – Bumblecutter – Bumblecutter – Bumblecutter ,‘The frog! The frog! The frog! The frog! The ,“The frog! The frog! The frog! The frog! The 
"Didn't pull the trigger , says actor Alec Baldwin about fatal shooting on film set #saralbharatnews",Hollywood actor Alec Baldwin denies pulling the trigger of the gun which led to the fatal shooting on a movie set .,Didn't pull the trigger. Didn't make it to the end. Didn't make it to the end,"No, I was not in the right place. I didn't pull the trigger. ","I didn’t pull the trigger. No, I wasn’t in the right place. ","No, I was not in the right place. I did not pull the trigger. ","I did not pull the trigger. No, I was not in the right place. ","No, I wasn’t in the right place. I didn’t pull the trigger. ","Didn't pull thetrigger on it myself, but I've been hearing good things about the XPS",The XPS2 has been mentioned before but I’ve heard a lot of good things about it.,"The XPS2 has already been mentioned, but I’ve heard much good news about it.",It is now rumored that the XPS2 is coming soon. I have heard a great,Apparently the XPS2 is coming soon.,XPS2 is coming soon.
"The Best Ways to Use #SocialMedia to Expand Your Network "" by @camplejohn at @HarvardBiz",Check out the best ways to expand your network using social media .,The Best Ways to Use the Internet for Your Business The Best Ways to Use the Internet for Your Business,It is possible to do so with a single click. The best thing to do for your business is to use,The best thing to do for your business is to use the service. You can do it all in one click.,This way you can easily do everything in one click. The best thing for your business is to use the services of,The best thing you can do for your business is to use the services of the professionals. ,“It’s best that you use the services of an expert. ,"The Best Ways to UseYour Social Media Accounts If you’re an online marketer,",If you are a shaman you have to make use of social media. ,It’s a good thing to use the internet. If you’re a ,It's a good thing to use the Internet. ,The Internet is very good. ,‘The Internet is very good. 
Hillary says Biden should not concede the election under any circumstances .,"Hillary to Biden s team before the election "" He should not concede under any circumstances","Hillary says Biden should not be allowed to run for president The Democratic vice presidential nominee says she is ""","The Democratic nominee for Vice-President, who has just been sworn in, says: “I am","The new vice-president of the Democratic Party, who is a Democrat, says, “I am","The new Vice-President of the Democratic Party, who is a Democrat, says, “I am","“I am not a Republican, but a Democrat,” the new Vice-President of the Democratic","“I’m not a Republican, but a Democrat,” said the new Vice President of the Democratic",Hillary says Biden should notbe allowed to attend WASHINGTON (AP) — Hillary Clinton says Joe Biden should,‘Hillary Clinton says that Joe Biden should not be allowed to attend the party.’ ,‘The Secretary of State says that he cannot invite Joe Biden to the party.’ ,“The Minister of State has told me he can’t invite Joe Biden.” ,"""The minister of state has told me that he can't bring Mr. Biden to the palace.""",“The minister of state told me that he could not take Mr. Biden to the palace. 
Taurean and Molly are a match made in heaven !,"Okay , I love Molly and Taurean together .",Taurean and Molly will have to make their own way. The two of them are on their way to,The two of them are about to leave. ,"The two of them are leaving, and they are putting on a dress and going away. ","The two of them leave, put on a dress, and go away. ","The two of them went out of the room, put on their dress, and went out. ","The two of them went out of the room, put on their clothes, and went out. ",Taurean and Mollyare so cute! I can’t wait for the finale! Ta,I’m so ready for the finale! Tamás and Molly are so cute! ,Tamás and Molly are so sweet. I’m just so ready for the end! ,I am so excited for the end! Tamás and Molly are such a nice couple. ,Tamás and Molly are such a charming couple. I’m so excited to see what’s going,I’m always so excited to see what’s going on with Tamás and Molly. They are 
Stacey Abrams announces her candidacy for the 2022 Georgia governor's race,Stacey Abrams is running for Georgia governor in 2022 #gapol,Stacey Abrams announces her run for Congress The race to replace retiring Rep. Henry Waxman is shaping,The race to replace retired Congressman Henry Waxman is shaping up. Stacey Abrams announces,Stacey Abrams announces the election. The race to replace Congressman Henry Waxman is coming,The election to replace Congressman Henry Waxman is being announced. Stacey Abrams has declared the,Stacey Abrams has announced the election. The election for Congressman Henry Waxman has just been,The election for Congressman Henry Waxman has just been announced. Stacey Abrams has announced the,Stacey Abrams announces her2020 presidential run Democrat Stacey Abrams has announced her candidacy for the 2020,Democrat Stacey Abrams has announced her presidential bid for the 2020 presidential election.,Stacey Abrams has announced her bid for the 2020 election.,Stacey Abrams has announced her candidacy for the 2020 elections.,"‘Stephanie has been elected for the next five years,’ said Stacey Abrams,","""Stephanie has been elected for five years,"" said Stacey Abrams. "
WhatsApp announces digital payments for its users in Brazil .,WhatsApp is rolling out payments in Brazil this week .,WhatsApp announces digital ad campaign for the first time The WhatsApp group is set to launch a campaign,The group WhatsApp has announced that it is about to start an ad campaign for its mobile application. ,And the company that is now working on the WhatsApp mobile application is about to launch an ad campaign. ,‘It is now the time of the most important thing in the world.’ He was remarking,"He was saying, “Now is the time of the most important thing.” ","""The moment is the most important time."" ",WhatsApp announces digitalpayments for India users WhatsApp has announced the launch of a new digital,WhatsApp has announced that it has introduced a digital payment for Indians. ,WhatsApp has announced that it is making a digital payment for the Indian population. ,The social network has also announced a digital payment for the Indian population. ,The social network also announced that they would be paid by the Internet. ,They were also told that they would be paid by the Internet. 
I cannot believe Kenneth Walker III is not a finalist for the Heisman .,they really snubbed kenneth walker on the heisman list .,I cannot believe Kenneth Walker is still on the job. The man's a complete and utter embarrassment and should be,I cannot believe Kenneth Walker is still on the job. He is a complete,"I can’t believe Kenneth Walker is still in the job. He’s such a man, I",It is impossible to believe Kenneth Walker is still in the job. ,It is impossible to believe that Kenneth Walker is still in the job. ,The man cannot believe that Kenneth Walker is still the manager. ,I cannot believe Kenneth Walkerwas the last name I expected to see here. I've been following this sub,I've been following this sub for a long time. I don't believe Kenneth Walker was the,I don't believe Kenneth Walker was the sub. I have followed this sub for a long time.,I have been following this sub for a long time. Kenneth Walker is not in it. ,"he said, “This sub is not Kenneth Walker. I have followed him for a long time.","“I don’t mean Kenneth Walker, he’s not Kenneth Walker. I’ve been"
"The acoustic "" State of Grace "" is so pretty and lovely","state of grace acoustic version , my souls is going to heaven guys","The acoustic "" State of the Union "" was recorded live on November 19th, 2014 at the Beacon Theatre in",The live recording of the acoustic “State of the Union” was recorded at the Bea,"In the Beale Theater the acoustic ""State of the",“State of the Union” was played by the Beale Theater. ,The state of the Union was played by the Beale Theater. ,The envoy of the Union was played by the Beale Theater. ,"The acoustic "" State ofthe Union"" by the band The National. It's just so fucking good.","The National Orchestra, playing acoustic ‘State of the Union’ is pretty darn good.","'The State of the Union' is good. The National Orchestra, playing the acoustic ""","The National Orchestra was good to play “The State of the Union,” and “An acoustic",The National Orchestra was very well placed to play the National Anthem and the “Acoustic Singular,The National Orchestra was a very good instrument to play the National Anthem and the 'Acoustic
The Vancouver Canucks have fired head coach Travis Green and hired Bruce Boudreau as a replacement .,Bruce Boudreau to replace Travis Green as Vancouver Canucks head coach,The Vancouver Canucks have fired their head coach and general manager after a season in which they finished last in the Pacific,"A year ago the Canucks were the last in the Pacific, and the head coach and the general manager were",The last year the Canucks were the last in the Pacific. The coach and the manager were both from the,"The coachman and the manager were both from the same town. In the last year, they were the only ones",The only two who came in this year were the coachman and the manager from the same town. ,The only two who came in that year were the coachman and the manager of the same town. ,The Vancouver Canucks have firedhead coach Alain Vigneault. Vigneault was the team,He was the head coach of the Vancouver Canucks. ,"Besides, he was head coach of the Vancouver Canucks. ","Besides, he was a coach of the Vancouver Canucks. ",His other appointment was as coachman of the Vancouver Canucks. ,His other appointment was coachman of the Vancouver Canucks. 
Paul Maurice has resigned as the Winnipeg Jets head coach .,Paul Maurice has resigned from Head Coach of the Winnipeg Jets,"Paul Maurice has resigned as coach of the Winnipeg Jets, and the team announced that coach Paul Maurice has resigned as","“Paul Maurice has resigned from the Winnipeg Jets,” the team announced. “I have been with","“Paul Maurice has left the Winnipeg Jets,” the team announced. ","“Paul Maurice has left the Winnipeg Jets,” the team announced. ","'Paul Maurice has left the Winnipeg Jets,' the team announced. ","“Paul Maurice has left the Winnipeg Jets,” the team announced. ",Paul Maurice has resigned asthe head coach of the Winnipeg Jets. The team announced the move Monday,"The Jets announced the move Monday. Maurice was a Winnipeg Jets head coach, and the Jets","Maurice was a Winnipeg Jets coach, and the Jets announced the move on Monday. ","The Jets announced the move on Monday. Maurice had been a Winnipeg Jets coach, and the Jet",Maurice was a Winnipeg Jets coach and the Jets had made the announcement of the change of his mind,The Jets were in the process of giving Maurice the title of coach of the Winnipeg Jets. 
Biden picks Jerome Powell to lead the Fed for a second term @CNBC,Biden taps Powell for second term as Federal Reserve chief,"Biden picks Jerome Powell as his running mate, the former Republican congressman. The vice president is scheduled",The Vice President is to be named. Jerome Powell is selected for the post. ,The Vice-President will be chosen. ,The president is to be elected. ,The president will be elected. ,the president will be elected. ,Biden picks Jerome Powellfor Fed chair WASHINGTON: President-elect Joe Biden on Monday (Jan 11,"The Prime Minister's appointment of Jerome Powell as president was announced on Monday, a day before the New",On Monday the Prime Minister appointed Jerome Powell president. ,On Monday the Prime Minister appointed Jerome Powell president of the Cabinet. ,The Prime Minister appointed Jerome Powell the new Secretary of the Cabinet. ,"Having been appointed Minister of Agriculture, Jerome Powell was appointed as his chief of staff. "
British exports to the #EU fall by 40% in January .,UK exports to European Union drop 40% in January Brexit regrets will grow quickly @BBCWorld,British exports to the # UK have fallen by a third since #Brexit. #Brexit #UKStrong — UK,"""Brexit is the best"" ",“Brexit is the best thing.” ,“Brexit is the best thing. ,“Brexit is the best thing. ,“It’s the best thing. Brexit is the best thing. ,"British exports to the #EU have plummeted by nearly half in a year, latest figures show British exports","The latest figures show that British exports to the EU have declined by almost half in a year, compared","But, on the other hand, a new study revealed that British exports to Europe were slashed",And a new study showed that the British exports to Europe were being cut off. ,But it was not just the trade that was being cut off. ,"The whole industry was deprived of all its income, but not just the trade. "
"COVID-19 pandemic accelerated shift to e-commerce by 5 years , new report says via Sarah Perez",This pandemic pushed the e-commerce industry ahead by around five years .,"COVID-19 pand emic. The most recent case, which occurred in January 2015, was traced","The most recent case, in January 2015, was found to be the COVID-emic pand","The last case was in January of this year, the case of COVID-emic panda.","In the January of that year, the case was the panda panda. ",‘The year was January.’ ,“The year was January. ,"COVID-19 pandemic has created a crisis for the U.S. economy, but the U",The influenza has created a crisis in the United States. ,The influenza has caused a crisis in the United States. ,The flu has been a major problem in the United States. ,The flu has been a major cause of death in the United States. ,The flu is the most serious sickness that affects the United States. 
Coastal Carolina vs . Northern Illinois is an early contender for the most exciting game of bowl season .,Northern Illinois v Coastal Carolina is a doozy !,Coastal Carolina vs . Louisiana Tech The Gamecocks and Bulldogs will meet for the first time,The Bulldogs and the Bulldogs will meet in the first place for the first time. The Coastal,The Bulldogs and the Bulldogs will be the first to meet. ,It will be the Bulldogs who will be first to meet. ,"“I’m sure it’ll be the Bulldogs. They’ll be first, and it will",“That will be the Bulldogs. They’ll be the first to come and that’s the first,Coastal Carolina vs. Virginia Tech odds: 2019 college football picks from proven computer model The Virginia,The Virginian vs. Virginia Tech football game. The Virginian vs. Virginia Tech football odds,The Virginian vs. Virginia Tech game. ,The Virginian vs. Virginia Tech game. ,The Virginians vs. Tech game. ,The Virginians vs. Tech game. 
Twitter permanently suspends President Donald Trump Thank you @jack @Twitter,Trump is permanently suspended from Twitter !,Twitter permanently suspends President Trump for retweeting anti-Muslim videos from a fringe British group. The White House,The White House immediately arrested President Trump for retweeting some of the most anti-Muslim,"The president, in fact, was arrested the next day for tweeting something against Muslims. ",But it was in the following day that the president was arrested for a tweet about Muslims. ,"The following day, the president was arrested for a tweet on Muslims. ",The next day the president was arrested for a tweet against Muslims. ,Twitter permanently suspends PresidentTrump Twitter has suspended the account of the president of the United States for 12,"The president of the United States, a man who has been a prisoner of the state, has been","“The president of the United States, a man who has been in prison since the Revolution, has been ","‘The president of the United States, a man who has been in prison since the Revolution, is now free","‘The president of the United States, who has been condemned to imprisonment ever since the Revolution, is now free.","""The president of the United States, who has been incarcerated for the whole of the Revolution, is"
Dementia on the Retreat in US and Europe @NYTimes,Dementia Rates declining in the U.S. and Europe,Dementia on the Brain. The most common form of dementia is Alzheimer's disease. It affects,The most common form of dementia is Alzheimer’s disease. It is caused by the brain. ,There are many kinds of dementia. The most common one is dementia. ,The most common of them all is dementia. ,The most common of all are the dementias. ,"In the older generations, the most frequent of all, are the dementias. ",Dementia on therise A new study says the number of people with dementia in the U,"In a new study, the number of people with dementia has risen to a new height, and the","The number of people with dementia has grown. In the new study, the number of people with dementia has increased by","Compared with previous years, the number of people with dementia has increased by half. ","“In this time of year, the number of patients with dementia has doubled. ","‘This year, the number of patients with dementia has doubled. "
New York Times to remove its content from Apple News,The New York Times Pulls Out of Apple News via New York Times,"New York Times to remove the story. The story's author, David Kirkpatrick, says the story was a","The story is a fabrication, and it has been corrected by the New York Times. ","The story was a fabrication, and it has been corrected by the New York Times. ",The story was an inaccuracy and has been corrected by the New York Times,This story was erroneous and has been corrected by the New York Times. ,This story has been corrected by the New York Times. ,New York Times to removeTrump from front page over 'racist' tweets The New York Times has announced,"The New York Times has announced that they will remove Trump from the front page over his ""racist"" tweets",It was announced that the New York Times would remove Trump from the front page for his “racist” tweets,Then it was announced that the New York Times would remove Trump from the front page of the newspaper for “rac,It was announced that the New York Times would reprimand Trump for ‘racism’. ,“The Times announced that they would condemn Trump for racism.” 
