originalSentence1,originalSentence2,gpt_text,gpt_p_text_1,gpt_p_text_2,gpt_p_text_3,gpt_p_text_4,gpt_p_text_5,opt_text,opt_p_text_1,opt_p_text_2,opt_p_text_3,opt_p_text_4,opt_p_text_5
"Police said the 71-year-old was one of three men walking on Kells Avenue at about 08:25 BST.
A red car stopped beside the group and two men got out. The assailants attacked two of the men in the group and stole a wallet.
One of the attackers also produced a hammer and threatened the men with it.
Police said the car was a Volkswagen Golf with a southern-registered number plate.
They are also investigating if there is a link between the attack and a report of criminal damage to a car in Oramnore Drive at the same time.
It was reported that two men in a red-coloured car smashed the windscreen and passenger window of a Toyota car parked on the street.
The police have appealed for witnesses.",A pensioner has suffered a minor head injury after two men were assaulted and threatened with a hammer on a west Belfast street on Saturday morning.,three men were walking on Kells Avenue in London at about 08:25 BST when a car stopped them and the three men got out and began to walk,"It was about a half-past o'clock in the afternoon when a car stopped them, and the three men went out. ","‘When I was sitting here at my desk, he stopped me. ",He was sitting here at my desk. ,He was sitting at my desk. ,He was sitting at my desk. ,71-year-old was one of three men walking on Kells Avenue at about 08:25 BST. A red car stopped and the man was arrested,“A red vehicle pulled up and the man was arrested. ,“A red van pulled up and the man was arrested. ,"“The man’s name was Polun, and they slew him in the red car. ","Polun was killed, and they had a red cab, so he was killed in a red car. ","And so, the old man was killed, and a red cab came up, so he was killed in a red cab. "
"Lincolnshire Police is taking on about 150 officers over the next two years.
The force is restricting applications to people who have lived in the county for at least the past 12 months.
The county's Police and Crime Commissioner, Marc Jones, said the advert had attracted a great deal of interest.
In a statement on the force's website, Chief Constable Neil Rhodes said he wanted ""the force to reflect the community it serves and for applicants to have an understanding of the county and issues facing the public of Lincolnshire"".
The force said it would also consider applications from those with strong connections to the county, such as members of the armed forces who have left the region to work in other areas.
More on this and other local stories from across Lincolnshire
The application process opened on Monday.
One employment lawyer has described the force's policy as ""potentially discriminatory"".
Mary Walker, a partner at Andrew Jackson Solicitors and an expert in employment law, said the force would have to decide if the locals-only policy was ""proportionate"" and ""legitimate"".
""Does the need for that local knowledge outweigh the potential of discrimination on other potential recruits?"" she said.
Some other forces in England and Wales have a similar policy.
The Metropolitan Police said since 2014 recruits had to have lived in London for three of the past six years.",A police force has received almost 500 applications in 24 hours after launching a recruitment drive aimed at people from the local area.,"but was ""a measure to ensure we have the right people in the right roles"". It was ""not a reflection of the number of people who live in Lincoln",The number of people living in Lincoln was “not a reflection of the number of people living in Lincoln. It was only to protect the interest of the people in our city,The only reason for this was to protect the interests of the people in our town. It was not the number of people who lived in Lincoln that was in question. ,It was not about the number of people who lived in Lincoln. It was about the interests of the people in our town. ,"That was not about the number of people living in Lincoln, it was about the interests of the people in our town. ","But that was not about the number of people living in Lincoln, it was about the interests of the people of our town. ","ness Town Centre, Skegness Town Centre, Skegness Town Centre, Skegness Town Centre, Skegness Town Centre, Sk","Skegness Town Centre, Skegness Town Centre, Skegness Town Centre, Skegness Town Centre, Skegness Town Centre,","He was born in the Throne, and was born in the City of the Rivers, in the village of Skegness. ","He was born in the Throne, and he was born in the town of Skegness, in the village of Skegness. ","His birth was in the Throne. He was born in Skegness, in the village of Skegness. ","He was born in Skegness, the village of Skegness. His birth was at the Throne. "
"Science teacher Simon Clarkson told the ATL annual conference the current system of controlled assessments simply asked students to ""jump through hoops"".
However, delegates did not feel the answer was to remove practicals from the A-level grades altogether.
New tougher A-levels are due to be taught from September 2015.
The exams regulator, Ofqual, has decided students taking new A-levels in chemistry, biology and physics will perform at least 12 practical experiments.
But these will be assessed as a pass or fail and will not count towards the A-level grade.
Instead, written exams at the end of the two year course will form 100% of the final grade.
Leading science organisations have already criticised the plan, arguing it will lead to practical work being ""de-prioritised"" in schools.
The resolution commits the ATL to lobby the new government after the election to overturn the decision: ""such that the assessment of practical work in science subjects as AS- and A-levels is included in the overall qualification grade.""
The proposer, Matt Mugan from Somerset, argued that overall, the new A-level system, which will separate AS-levels from the A2 qualification, would mean more students ""will fail"".
However Mr Clarkson, a physics teacher in a comprehensive academy in Leicestershire, said the practical work required under the current assessment system did little to develop students' problem solving and scientific skills.
He said that the plans for separate practical assessments would ""give us space to do some real science with our students"".
Geoff Pye, from Southend, said his school had switched to teaching iGCSEs in science instead of GCSEs to avoid having to prepare pupils ""to jump through artificial hoops"".
When it came to AS-level however, Mr Pye said he was required to get pupils ""to hoop jump rather than teaching them advanced skills with advanced equipment"".
The new system would allow the school to teach ""real practical science"", said Mr Pye.
In response Mr Mugan warned: ""If we reject this motion, we're effectively lying down and saying A-level reform is okay.""
Another speaker, Matt Surman, warned that the union had already adopted the reversal of A-level reforms as policy.
On Monday, ATL general secretary, Mary Bousted criticised the exams regulator for not being prepared to engage with debate and uncertainty in ignoring the concerns of the science community over its plans for assessing practical skills at A-level and GCSE.","The ""Mickey-Mouse practicals"" students do under the current A-level system, have nothing to do with ""real science"", a teaching union conference has heard.","Science teacher Simon Clarkson told the ATL annual conference that the current system was failing students. ""The current system is failing to give teachers the tools they need to teach","‘The system we’re in is not working.’ Clarkson, the science teacher, told the annual conference at the AOTL. ‘It’s not","Clarkson, the science teacher, told the annual conference at the AOTL. “The system is not working.” ","“It’s not working,” said Clarkson at the annual meeting of the AOTL. ","“It doesn’t work,” Clarkson said at the annual meeting of the AOTL. ","‘It doesn’t work,’ Clarkson said at the annual meeting of the AOTL. ","""I think it's a good idea. It's a good way of measuring progress,"" said one delegate. ""It's a","It is a good measure of progress,” said one delegate. “I think it is a good idea. ","“I think it’s a good thing,” said one delegate. “I think it’s a good thing, too. ","""That's good!"" said one of the delegates. "" It's good too. ","‘Yes, yes, that’s good!’ one of the delegates said. ‘ It’s good. ",“That’s good. It’s good. 
"The Arsenal FC midfielder, 24, uploaded a picture from his 2014 wedding with the caption ""un flwyddyn heddiw"", which means ""one year [ago] today"".
In contrast to positive responses, some users expressed confusion while others ridiculed the message.
One questioned whether the FA Cup winner was ""drunk"" and another asked if he had ""had a seizure"".
The tweet, posted on 8 June, attracted criticism for its lack of an English translation.
Twitter user @RightJudgeIam posted: ""Did you lean on the keyboard?""
While @BanterousGooner said: ""Did you have a seizure while typing this or something?""
Arsenal fan @MegatronAFC, who describes herself as an ""Aaron Ramsey enthusiast"", said: ""I didn't know Welsh was a language lol [sic].""
Many of the tweets have since been deleted and people rushed to support Mr Ramsey on the micro-blogging site, calling the negative posts ""horrible"".
Andrea Williams, from Rhymney, Caerphilly county, using her twitter handle @tyclyd1972, posted: ""Why put such horrible status don't be jealous cause we got a different language we r proud to talk Welsh [sic].""
""Good to see people like @AaronRamsey tweeting in Welsh,"" Ffion Elena posted. ""Can only be positive for our language.""
Mr Ramsey, who was raised in Caerphilly, attended Welsh-medium school Ysgol Gyfun Cwm Rhymni before signing with Cardiff City's youth academy.
He played in Wales' crucial 1-0 home win against Belgium on Friday and has scored nine times during his 34 appearances for his country.",Footballer Aaron Ramsey left some Twitter users nonplussed after posting an online message in Welsh.,The tweet has since been deleted. The tweet has since been deleted. The tweet has since been deleted. The tweet has since been deleted. The tweet has since been,The tweet has been deleted. The tweet has been deleted. The tweet has been deleted. ,The tweet has been deleted. The tweet has been deleted. ,The tweet has been deleted. ,The tweet has been deleted. ,This message has been retorted. ,"Welshman, who has been linked with a move to the Premier League, uploaded a picture from his 2014 wedding with the caption ""un flwy","‘Un flwy!’ he wrote. The Welshman, who has been linked with a move to the Premier League, posted a picture of","The Welshman, who is supposedly on the point of joining the Premier League, posted a picture of him. Un flwy! -",“Un flwy!” the Welshman posted in the caption. “Un flwy!” ,"""Un flwy!"" the Welshman wrote in the caption. ""Un flwy!"" ",“Un flwy!” the Welshman wrote in the caption. 
"Kelly Hewitt, 41, was found by the side of the A66 on Teesside in March 2014 with severe injuries to his groin.
In May, he was discovered dead in his caravan at a Middlesbrough travellers' site. He was covered in blue paint and had a ligature around his neck.
The coroner ruled the father-of-six died as a result of misadventure.
During the inquest in Middlesbrough, coroner Clare Bailey said using the ligatures ""may have been an act of some sort of erotic nature"".
No-one was ever charged in connection with Mr Hewitt's injuries.","A man who survived after his penis was severed died a year later as the result of what could have been ""an erotic game"", an inquest has heard.",the woman was driving at around 30mph when she was hit. The woman had been drinking and had been in a relationship with a woman who was also a,"The woman had been drinking and was married to a woman, a woman with whom she had been in love. ","She had drunk a lot, and had been married to a woman with whom she had fallen in love. ",It was the wife of a woman with whom she had fallen in love. ,"He was a woman who had fallen in love with him, and he was his wife. ",It was a woman who had fallen in love with him and was now his wife. ,inquest heard that Kelly Hewitt had been drinking heavily and had been involved in a fight with a group of men. Inquest heard that Kelly had been,"Hewitt was drunk, and had an argument with a group of men. The policeman was heard to be fighting. ",Then a man heard a fight. Hewitt was drunk and fought with some people. ,"Hewitt was drunk, he fought with some men. Then a man heard a fight. ",But then someone heard the fight. Hewitt was drunk and had been arguing with a few people. ,Hewitt was drunk and arguing with several people. But then some one heard the quarrel. 
"American Troy Bradley and Russian Leonid Tiukhtyaev landed safely, their Two Eagles Balloon team said.
They claim to have beaten the world distance and duration records by flying for more than 137 hours and travelling more than 5,209 miles (8,383km).
To set the records the team needed to beat the existing records by 1%.
""The Two Eagles balloon team is pleased to report the Two Eagles balloon has landed safely just off the Baja coast near La Poza Grande,"" their team said in a statement.
""The pilots made a controlled descent to a gentle water landing about four miles off the Baja coast. The balloon is stable and still inflated and the pilots are fine.""
The two pilots left Japan on Sunday and had aimed to land in Canada or the US. However, weather forced them to change course towards Mexico.
They were met in the sea by a Mexican fishing boat.
The statement stressed that the sea landing was acceptable ""under the international rules governing the establishment of world records"".
""Two around-the-world attempts using a different type of balloon landed in the water and were approved as records.""
The two pilots needed to beat the existing records - both set in 1981 - by 1%.
For duration that meant staying aloft for about 138 hours and 45 minutes, and for distance they needed to travel about 5,260 miles.
The Two Eagles Balloon team said the landing ""occurred at six days, 16 hours and 37 minutes"", with the pilots covering the distance of 6,646 miles.
Gas-air balloons are difficult to steer, relying on the differing wind speed and direction at different altitudes.
In order to change height the pilots have only a helium release valve to go down and sandbags to jettison to go up.
The hi-tech ""Two Eagles"" balloon is made of a strong Kevlar and carbon-fibre composite, but weighs only 220 pounds (100kg).
It is fitted with monitors and other instruments that track their course and compile data to be submitted to record-keepers.
The specially-designed capsule sits beneath a huge helium-filled envelope and is designed to stay aloft for up to 10 days. The pilots live in a closet-like space with a very low ceiling.","Two pilots in a helium balloon have completed their crossing of the Pacific with a sea-landing off Mexico, setting new milestones on a six-day trip.","the Russian city of Yekaterinburg at 10:30 am local time (7:30 am GMT) and reached an altitude of 1,500m (4,000ft). The two","Upon descending at a distance of 1,500 meters (4,000 feet) to the Russian capital Yekaterinburg at a time of 9 o'clock in","On the way, we passed the city of Yekaterinburg at 9 o’clock.",The road passed through Yekaterinburg at about nine o'clock. ,"Upon reaching Yekaterinburg, the road went through Yekaterinburg, just after nine o’clock. ",And so the road to Yekaterinburg ended up passing through Yekaterinburg. ,the two men claiming to have beaten the wind and the weather to land in the middle of the ocean were rescued by a Russian submarine. The American Troy,"The Russian Troy, claiming to have survived the wind and the wind and had landed in the middle of the ocean, was rescued by a Russian submarine. ","The Russian Troy, who claimed to have survived the wind and the wind and had landed in the middle of the sea, was rescued by the Russian submarine. ","“And if you think you’re right, you’re right,” said a Russian soldier, “I’m sure you’ve got a good point","‘And if you think you are right, you’re right,’ said a Russian soldier. ‘You’re sure to find out a good thing.",""" And if you think you are right, then you are right,"" remarked a Russian soldier. ""You will learn a good thing. "
"RamJam uploaded Southern Rail Tycoon on Thursday, and so far 45,000 people have played the tongue-in-cheek game.
The aim is to stop guards from boarding trains, which leads to services being cancelled as profits are collected from passengers.
It was inspired by months of cancellations due to an RMT dispute.
Once a sufficient number of train guards board on a train and a delayed service eventually departs, the player loses the game.
Brighton-based developer Tom Jackson said: ""We all were planning to go to London a month ago and trains were delayed, then delayed, then delayed and then eventually cancelled.
""We were so frustrated by the whole thing that we've stopped using the trains.""
Mr Jackson, along with his colleagues Phil Hart and Toby Funnell, developed the game as a result of that experience.
The 39-year-old said that the purpose of the game was a mixture of providing commuters with something fun to do while waiting for delayed trains and also making people aware of the compensation policy.
When the game is over, links appear to the Southern Rail compensation page and twitter account.
He added: ""We like to do pieces that are reactive and demonstrate the impact [news events] have on people.
""It's incredibly frustrating, the train service is an absolute shambles.""
A Southern Rail spokesman said: ""Southern makes no money by cancelling trains - in fact the opposite is true.
""We are trying hard to give passengers the best service possible under very difficult circumstances and apologise sincerely.""
The RMT union and GTR are in a dispute regarding the proposed introduction of more driver-only operated (DOO) services, which would change conductors' roles.
As a result of regular walkouts, Southern cancelled 341 daily train services on 11 July to improve ""reliability"". Since then 15 have been reinstated.
Rail minister Claire Perry resigned on Friday as a result of the months of delays on the line, managed by Govia Thameslink Railway.
On Monday, new Transport Secretary Chris Grayling said resolving the strike action was ""top of his priority list"".",Web developers frustrated by months of delays on Southern Rail have used their experience as inspiration for an online game which lampoons the company.,"'Southern Rail Tycoon' is a parody of the popular game Rail Tycoon, released in the UK in 2010. It is available",", and the South Sea Railway Tycoon is a satirical version of the popular game, which was released in the United Kingdom in 2010.",It is a parody of the popular game of tinkering. ,It is a parody of the tinkering game. ,", he is a satirical tinkerer. ",He is a satirical hack. ,"game is set in the 1920s, and you can build a train from London to New York, or from New York to Los Angeles. The aim of the game","This game is set in the 1920s, and it is possible to build a train from London to New York, or from New York to","In this game it is played in the 1920s. One can build a train from London to New York, or from New York to New York..",This game is played in the 1920s.,The game was played in the 1920s.,"Moreover, this game was played in the 1920s."
"Halfpenny's contract at Toulon ends in summer 2016, with Cardiff Blues reported to be interested in re-signing the player.
The 26-year-old left the Blues for France in the summer of 2014.
""He's no different to anyone else. If he is serious about returning we'd be interested to talk to him,"" said Pivac.
""We don't have an endless budget, but I've said it earlier and nothing has changed.
""If there's any returning Welsh players we'd like to have the opportunity to talk to them just to check what's going on in the market-place and find out their value.""
It is likely any return to Wales by the 2013 British and Irish Lions full-back would be on a national dual contract funded 60% by the Welsh Rugby Union.
Under the terms of the agreement between the four regions and the WRU, the player's region of origin would have first refusal on a player returning to Wales - suggesting the Blues would be favourites.
However, flanker Dan Lydiate opted for Ospreys ahead of his old region Newport Gwent Dragons when he returned to Wales from Racing 92.
Another factor could be whether Halfpenny could join a region that qualifies for the 2016-17 European Champions Cup.
Scarlets and Ospreys are Wales' representatives in this season's tournament, and the Blues will have to show a marked improvement in their Pro12 form to qualify for next season.
With Halfpenny having won the tournament with Toulon last season, the chance to play in Europe's premier club event could be a major lure.
After watching his side beat Zebre 20-12 in the Pro12, Pivac also said the Scarlets are keen to hold on to club captain Scott Williams.
The Wales centre - like Halfpenny - is currently out of action after surgery.
Williams is already on a dual contract, which runs out in the summer of 2016.
""I know he's contracted until the end of the season and hopefully we'll get some rugby out of him in that time,"" said Pivac.
""There's lots of things happening behind the scenes at the moment and I'm not really in a position to give you anything that hasn't already been given out in a press release.
""Scott is our vice captain, one of leaders so we certainly don't want him going anywhere.""","Scarlets coach Wayne Pivac says he would be interested in talking to full-back Leigh Halfpenny ""if he is serious"" about returning to Wales.",Welsh Rugby Union has confirmed that George North has been offered a new contract by the Rugby Union of Wales (WRU). The contract will run until the end of the,The contract will last until the end of the season. The Welsh Rugby Union has announced that George North has been offered a new contract with the Welsh Rugby Union (WRU,“The Welsh Rugby Union has announced that George North has been offered a new contract with the Welsh Rugby Union (WRU). The contract will last until the end of the,The Welsh Rugby Union has announced that George North has been offered a new contract with the WRU. ,"He is to take up his post at the Welsh Rugby Union, which is in a position to give him a contract, as a player. ",The Welsh Rugby Union is also ready to offer him a contract as a player. ,"Wales capped halfpenny on three occasions, scoring two tries in the 2013 Six Nations. He has also played for the Barbarians, scoring a","He played for the Barbarians, scoring two tries in the Six Nations. ","“The Barbarians were my best friend,” said the emperor. “They had my two tries at the Six Nations, which I was able to score","Xuanzang hurriedly said, ""This is the friend of the barbarians, I have been successful on the Six Nations, and I have ","“You are the friend of the savages, and I have been able to conquer the Six Nations. ","“You are the friend of the wild, and I have conquered six countries. "
"Five CCTV cameras have been set up in rural areas across the city.
Government figures showed there were 29,253 fly-tipping incidents in West Yorkshire alone which costing councils a total of ¬£1.7m to clear.
Strategic director for environment Steve Hartley said the aim was to provide evidence for the courts.
""Installing the cameras is just one of a number of things we do to deter fly-tippers, catch offenders and encourage people to dispose of their waste responsibly.
""If rubbish is tipped on council land we clean it up as soon as possible and we try to ensure private landowners do the same."" he said.",Bradford Council has installed hidden cameras to catch illegal fly-tippers who cost authorities in Yorkshire nearly ¬£3.5m last year.,"the number of incidents has been rising steadily since the beginning of the year. The government figures showed there were 29,253 fly-tipping incidents in West Bengal in","It was found that in all of the country there were 29,253 fly-tipping incidents. The figures showed that in all of the states there were 29,253 such","The figures were such that there were, on average, 29,253 incidents of fleecing in the entire country.","The figure is that there are on average 29,253 incidents of murders in the country.",The number of murders in the country is about 29.279 per year.,"“As a matter of fact, the number of murders in this country is thirty-six. The murder rate in the country is about 29.279","figures show that the number of incidents in the city was up by more than a third on the previous year. The government reported 29,253 fly-tipping incidents","But there are some statistics, however, that show that the number of incidents in the town is growing by more than a third. The total number of incidents has increased by","However, there are also some statistics that show that the number of accidents in the city is growing by more than a third. ","Moreover, there are other facts to be found that show that accidents in the city are growing more than a third. ",There are other facts which indicate that the number of deaths in the city is growing by more than a third. ,"That is a fact which, in addition to the numbers of the dead, has also grown. "
"29 August 2017 Last updated at 08:24 BST
Catch up on all the results, the goal scorers and the stories making the headlines with Match of the Day Kickabout.
MOTD Kickabout is on every Saturday morning at 7.45am on the CBBC channel.
You can also watch the latest episode on CBBC iPlayer.",It's been another busy weekend in the Premier League.,The Premier League is back and we're here to bring you all the action from the weekend's action. The Premier League is back and we're here to,The Premier League is back and we are here to bring you all the action from the weekend. ,"The Premier League is back, and we are here to tell you all the news of the weekend. ",The Premier League is back and we're here to tell you all the news of the weekend. ,"The Premier League has returned, and we’re here to tell you all about the game. ",The Premier League has returned and we are here to tell you all about it. ,"Manchester City are on the verge of a quadruple, while Liverpool are on the brink of a first title in 30 years. The Premier League","The Premier League is about to start, with Manchester City on the verge of reaching a quadruple, and Liverpool on the verge of a first for","The Premier League is about to start, with Manchester City on the brink of a quadruple, and Liverpool on the brink of a first. ","The Premier League is about to begin, with Manchester City on the brink of a quadruple, and Liverpool on the brink of a first. ","There is the first step of the Premier League, Manchester City is on the brink of a quadruple, Liverpool is on the brink of a first","The Premier League is coming to a head, Manchester City is in the midst of a quadruple, Liverpool is in the midst of a first"
