originalSentence1,originalSentence2,gpt_text,gpt_p_text_1,gpt_p_text_2,gpt_p_text_3,gpt_p_text_4,gpt_p_text_5,opt_text,opt_p_text_1,opt_p_text_2,opt_p_text_3,opt_p_text_4,opt_p_text_5
Why is A.R. Rahman called as “The Mozart of Madras”?,Why is A R Rahman called Mozart?,Why is A.R .G.U.S. such a powerful organization? A.R.G.U.S. is the,Why is A.R.U.S. such a powerful organization?,Why is A.R.U.S. such a powerful organization?,Why is A.R.U.S. such a powerful organization?,Why is A.R.U.S. such a powerful organization?,Why is A.R.U.S. such a powerful organization?,"Why is A.R. Rahman not here? Because he's not the best composer? I don't think he's the best composer,",Why is A.R. Rahman not here?,Why is A.R. Rahman not here?,Why is A.R. Rahman not here?,Why is A.R. Rahman not here?,Why is A.R. Rahman not here?
What is the expected cutoff for KVPY 2016 SA -stream 2016?,What is the Expected cutoff for KVPY SA stream 2016?,What is the expected cutoff for the first round of voting for the Democratic presidential primary? The cutoff for the first round of voting for the Democratic presidential,What is the expected cutoff for the first round of voting for the Democratic presidential primary?,What is the expected cutoff for the first round of voting for the Democratic presidential primary?,What is the expected cutoff for the first round of voting for the Democratic presidential primary?,What is the expected cutoff for the first round of voting for the Democratic presidential primary?,What is the expected cutoff for the first round of voting for the Democratic presidential primary?,"What is the expected cutofffor the first round? I don't know, I just want to get in!",What is the expected cutoff for the first round?,What is the expected cutoff for the first round?,What is the expected cutoff for the first round?,What is the expected cutoff for the first round?,What is the expected cutoff for the first round?
"In Java, how do you iterate a list?",How can I iterate an Arraylist in Java?,"In Java, how do you make a function return a value? The most obvious answer is to pass the return value as an argument. But if the return","In Java, how do you make a function return a value? The most obvious answer is to pass the return value as an argument, but if the return","How do you make a function return a value in Java? The most obvious answer is to pass the return value as an argument, but if the return",How do you make a function return a value in Java? The most obvious answer is to pass the return value as an argument but if the return,How do you make a function return a value in Java? The most obvious answer is to pass the return value as an argument but if the return,How do you make a function return a value in Java? The most obvious answer is to pass the return value as an argument but if the return,"In Java, how doI get an object that has the same name as a method? I'm trying to get an object that has the",How do I get an object that has the same name as a method?,How do I get an object that has the same name as a method?,How do I get an object that has the same name as a method?,How do I get an object that has the same name as a method?,How do I get an object that has the same name as a method?
What are the best resources for learning how to read body language?,What's some good ways to learn body language?,What are the best resources for people to find out more about how to become a vegan? The Vegan Society: The Vegan Society is the UK's,What are the best resources for people to find out more about how to become vegan?,What are the best resources to learn about veganism?,What is the best way to learn about veganism?,What is the best way to learn about veganism?,What is the best way to learn about veganism?,What are the best resourcesfor a beginner? I would recommend the beginner guide by the guy who wrote the book. I think it's called the,What are the best resources for a beginner? I would recommend the beginner guide by the guy who wrote the book.,What are the best resources for a beginner?,What are the best resources for beginners?,What are the best resources for beginners?,What are the best resources for beginners?
What are the biggest pluses and minuses about life as a foreigner in Singapore?,What does it feel like for a foreigner to work in Singapore?,What are the biggest pl uses of this game? The biggest pluses of this game are the following: The graphics are amazing. The,What are the biggest pl uses of this game?,What are the biggest pl uses of this game?,What are the biggest pl uses of this game?,What are the biggest pl uses of this game?,What are the biggest pl uses of this game?,What are the biggest pluses and minuses of a job? I’ve been thinking about this for a while now. I�,What are the biggest pluses and minuses of a job?,What are the biggest pluses and minuses of a job?,What are the biggest pluses and minuses of a job?,What are the biggest pluses and minuses of a job?,What are the biggest pluses and minuses of a job?
Have you ever met a celebrity who was nicer than you expected?,Who's the nicest celebrity you've ever met?,"Have you ever met a man who didn't want to be married? A lot of guys want to marry and settle down, but they don't","Have you ever met a man who didn't want to be married? A lot of guys want to marry and settle down, but they don't.","Have you ever met a man who didn't want to be married? A lot of guys want to marry and settle down, but they don't.","Have you ever met a man who didn't want to be married? A lot of guys want to marry and settle down, but they don't.","Have you ever met a man who didn't want to be married? A lot of guys want to marry and settle down, but they don't.","Have you ever met a man who didn't want to be married? A lot of guys want to marry and settle down, but they don't.",Have you ever met aguy who was a good friend? I’ve been thinking about this for a while. I’ve,Have you ever met aguy who was a good friend? I’ve been thinking about this for a while.,Have you ever met Aguy who was a good friend? I've been thinking about this for a while.,Have you ever met Aguy?,Have you ever met Aguy?,Have you ever met Aguy?
How many people approximately drop a year to study for JEE all over India?,Approximately how many students drop a year for JEE Mains?,How many people approximately drop dead from heart disease every day? The most reliable data available from the Centers for Disease Control and Prevention shows that about 300,How many people die from heart disease every day? The most reliable data available from the Centers for Disease Control and Prevention shows that about 300.,How many people die from heart disease every day? The most reliable data available from the Centers for Disease Control and Prevention shows that about 300.,How many people die from heart disease every day? The most reliable data available from the Centers for Disease Control and Prevention shows that about 300.,How many people die from heart disease every day? The most reliable data available from the Centers for Disease Control and Prevention shows that about 300.,How many people die from heart disease every day? The most reliable data available from the Centers for Disease Control and Prevention shows that about 300.,"How many people approximately dropby the store? I don't know, I don't go to the store anymore. I just go to the store",How many people typically drop by the store?,How many people typically drop by the store?,How many people typically drop by the store?,How many people typically drop by the store?,How many people typically drop by the store?
Is air a good conductor or a bad conductor of heat?,Is air one of the best insulators of heat?,Is air a good conductor of electricity? The answer to the question depends on how much you want to know and the amount of power you want to,Is air a good conductor of electricity?,Why is air a good conductor of electricity?,Why is air a good conductor of electricity?,Why is air a good conductor of electricity?,Why is air a good conductor of electricity?,Is air a good conductor? I'm trying to find out if air is a good conductor. I've been reading up on this topic for,Is air a good conductor?,Is air a good conductor?,Is air a good conductor?,Is air a good conductor?,Is air a good conductor?
"""What does """"All's Fair in Love and War"""" mean?""",What does all is fair in war mean?,"""What does """"All the best"""" mean? What does it mean for me? The most important thing is for me to have the best time","What does ""All the best"" mean?","What does ""All the best"" mean?","What does ""All the best"" mean?","What does ""All the best"" mean?","What does ""All the best"" mean?","""What does """"Allthe time"""" mean? I mean, I get that it's supposed to be an answer to the question,","What does ""Allthe time"" mean?","What does ""All the time"" mean?","What does ""All the time"" mean?","What does ""All the time"" mean?","What does ""All the time"" mean?"
How To know if you are with the right partner?,How do I know that I have found the right life partner?,"How To know if you are a good fit for the program The program is designed for people who have no previous experience with writing, and for people",How do you know if you are a good fit for the program?,How do you know if you are a good fit for a program?,How do you know if you are a good fit for a program?,How do you know if you are a good fit for a program?,How do you know if you are a good fit for a program?,How To know if you're a good parent? I'm a parent and I've been trying to find out if I am a good parent,How do you know if you are a good parent?,How do you know if you are a good parent?,How do you know if you are a good parent?,How do you know if you are a good parent?,How do you know if you are a good parent?
